model,seed,seed_group,scenario,target_fpr,review_fraction,stage1_recall,stage1_fpr,direct_recall,direct_fpr,direct_precision,direct_f1,direct_ap,direct_auc,review_n,review_fraction_all,review_precision,rescued_stage1_fn,capture_rate,assisted_recall
DAPT_STATIC,42,ORIGINAL5,IID_ORIGINAL,0.005,0.05,0.4612476370510397,0.0030105368790767687,0.6521739130434783,0.004515805318615153,0.9871244635193133,0.7854297097324986,0.8860255218305951,0.8820346638565795,128,0.04195345788266142,0.984375,126,0.22105263157894736,0.5803402646502835
DAPT_STATIC,42,ORIGINAL5,IID_ORIGINAL,0.005,0.1,0.4612476370510397,0.0030105368790767687,0.6521739130434783,0.004515805318615153,0.9871244635193133,0.7854297097324986,0.8860255218305951,0.8820346638565795,256,0.08390691576532285,0.97265625,249,0.4368421052631579,0.6965973534971645
DAPT_STATIC,42,ORIGINAL5,IID_ORIGINAL,0.005,0.2,0.4612476370510397,0.0030105368790767687,0.6521739130434783,0.004515805318615153,0.9871244635193133,0.7854297097324986,0.8860255218305951,0.8820346638565795,512,0.1678138315306457,0.712890625,365,0.6403508771929824,0.8062381852551985
DAPT_SSL_REFRESH,42,ORIGINAL5,IID_ORIGINAL,0.005,0.05,0.4612476370510397,0.0030105368790767687,0.6304347826086957,0.004515805318615153,0.9866863905325444,0.7693194925028836,0.8930437560500551,0.8903527658714765,128,0.04195345788266142,0.9765625,125,0.21929824561403508,0.5793950850661626
DAPT_SSL_REFRESH,42,ORIGINAL5,IID_ORIGINAL,0.005,0.1,0.4612476370510397,0.0030105368790767687,0.6304347826086957,0.004515805318615153,0.9866863905325444,0.7693194925028836,0.8930437560500551,0.8903527658714765,256,0.08390691576532285,0.96484375,247,0.43333333333333335,0.6947069943289225
DAPT_SSL_REFRESH,42,ORIGINAL5,IID_ORIGINAL,0.005,0.2,0.4612476370510397,0.0030105368790767687,0.6304347826086957,0.004515805318615153,0.9866863905325444,0.7693194925028836,0.8930437560500551,0.8903527658714765,512,0.1678138315306457,0.728515625,373,0.6543859649122807,0.8137996219281664
DAPT_STATIC,42,ORIGINAL5,IID_BALANCED,0.005,0.05,0.4612476370510397,0.000945179584120983,0.6521739130434783,0.002835538752362949,0.9956709956709957,0.7881210736721873,0.9206260057342288,0.8830255395027891,82,0.038752362948960305,0.9878048780487805,81,0.14210526315789473,0.5378071833648393
DAPT_STATIC,42,ORIGINAL5,IID_BALANCED,0.005,0.1,0.4612476370510397,0.000945179584120983,0.6521739130434783,0.002835538752362949,0.9956709956709957,0.7881210736721873,0.9206260057342288,0.8830255395027891,163,0.07703213610586011,0.9938650306748467,162,0.28421052631578947,0.6143667296786389
DAPT_STATIC,42,ORIGINAL5,IID_BALANCED,0.005,0.2,0.4612476370510397,0.000945179584120983,0.6521739130434783,0.002835538752362949,0.9956709956709957,0.7881210736721873,0.9206260057342288,0.8830255395027891,326,0.15406427221172023,0.950920245398773,310,0.543859649122807,0.7542533081285444
DAPT_SSL_REFRESH,42,ORIGINAL5,IID_BALANCED,0.005,0.05,0.4612476370510397,0.000945179584120983,0.6304347826086957,0.004725897920604915,0.9925595238095238,0.7710982658959538,0.9270166180266315,0.8929307178004653,82,0.038752362948960305,0.9878048780487805,81,0.14210526315789473,0.5378071833648393
