feature_space,classifier,seed,strategy,label_budget,n_labeled,scenario,target_fpr,threshold,calibration_empirical_fpr,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,prevalence_phish
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,IID_ORIGINAL,0.005,0.9255903709180672,0.00468384074941452,0.8056388479830356,0.828718567917769,0.970108695652174,0.33742911153119093,0.5007012622720898,0.0055193176116407425,357,11,1982,701,0.3467715503113733
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,IID_BALANCED,0.005,0.9255903709180672,0.00468384074941452,0.866293033394528,0.8284954670687996,0.9754098360655737,0.33742911153119093,0.5014044943820225,0.008506616257088847,357,9,1049,701,0.5
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,TEMPORAL,0.005,0.9255903709180672,0.00468384074941452,0.9333714290431998,0.91164575,0.9922600619195047,0.48075,0.6476928258672954,0.00375,1923,15,3985,2077,0.5
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,DOMAIN_OOD,0.005,0.9255903709180672,0.00468384074941452,0.9149626283440613,0.8922900876394535,0.9899749373433584,0.4095386210471747,0.5793912724605794,0.00414722654224987,790,8,1921,1139,0.5
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,TEMPLATE_OOD,0.005,0.9255903709180672,0.00468384074941452,0.9297011311866402,0.9085134221654262,0.9925650557620818,0.4689695550351288,0.6369781312127236,0.00351288056206089,1602,12,3404,1814,0.5
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,DOMAIN_TEMPLATE_OOD,0.005,0.9255903709180672,0.00468384074941452,0.9078929304522674,0.8837307946083514,0.99039780521262,0.389428263214671,0.5590398761130468,0.0037756202804746495,722,7,1847,1132,0.5
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,IID_ORIGINAL,0.01,0.8780368570090021,0.00936768149882904,0.8056388479830356,0.828718567917769,0.9452954048140044,0.40831758034026466,0.5702970297029702,0.012543903662819869,432,25,1968,626,0.3467715503113733
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,IID_BALANCED,0.01,0.8780368570090021,0.00936768149882904,0.866293033394528,0.8284954670687996,0.9621380846325167,0.40831758034026466,0.5733244857332449,0.01606805293005671,432,17,1041,626,0.5
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,TEMPORAL,0.01,0.8780368570090021,0.00936768149882904,0.9333714290431998,0.91164575,0.9867724867724867,0.5595,0.7141033822590938,0.0075,2238,30,3970,1762,0.5
STRUCT,LOGREG,42,UNCERTAINTY,0.1,400,DOMAIN_OOD,0.01,0.8780368570090021,0.00936768149882904,0.9149626283440613,0.8922900876394535,0.9821802935010482,0.4857439087610161,0.6500173430454388,0.008812856402280975,937,17,1912,992,0.5
