representation,classifier,seed,label_budget,target_fpr,comparison,iid_n,ood_n,iid_prevalence,ood_prevalence,iid_ap,ood_ap,ap_delta_ood_minus_iid,iid_empirical_fpr,ood_empirical_fpr,empirical_fpr_delta,iid_recall,ood_recall,recall_delta
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9037980924555247,0.918040854089804,0.014242761634279288,0.002835538752362949,0.00175,-0.0010855387523629491,0.2589792060491493,0.17375,-0.08522920604914933
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9037980924555247,0.8895582305703407,-0.014239861885184002,0.002835538752362949,0.002592016588906169,-0.00024352216345678015,0.2589792060491493,0.11353032659409021,-0.1454488794550591
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9037980924555247,0.9166973883424776,0.012899295886952933,0.002835538752362949,0.001756440281030445,-0.0010790984713325042,0.2589792060491493,0.16334894613583137,-0.09563025991331794
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9037980924555247,0.8796824802823101,-0.024115612173214562,0.002835538752362949,0.002696871628910464,-0.00013866712345248508,0.2589792060491493,0.10679611650485436,-0.15218308954429494
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9037980924555247,0.918040854089804,0.014242761634279288,0.003780718336483932,0.004,0.00021928166351606803,0.3610586011342155,0.25575,-0.10530860113421553
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9037980924555247,0.8895582305703407,-0.014239861885184002,0.003780718336483932,0.005184033177812338,0.001403314841328406,0.3610586011342155,0.17884914463452567,-0.18220945649968984
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9037980924555247,0.9166973883424776,0.012899295886952933,0.003780718336483932,0.004391100702576112,0.00061038236609218,0.3610586011342155,0.2459016393442623,-0.11515696178995322
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9037980924555247,0.8796824802823101,-0.024115612173214562,0.003780718336483932,0.005393743257820928,0.001613024921336996,0.3610586011342155,0.16666666666666666,-0.19439193446754885
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9037980924555247,0.918040854089804,0.014242761634279288,0.01606805293005671,0.0165,0.00043194706994328924,0.4810964083175803,0.4295,-0.05159640831758033
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9037980924555247,0.8895582305703407,-0.014239861885184002,0.01606805293005671,0.021254536029030584,0.005186483098973873,0.4810964083175803,0.3452566096423017,-0.13583979867527862
