contrast,model,scenario,label_budget,target_fpr,metric,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses,holm_p_primary4
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_ORIGINAL,0.25,0.005,recall,10,0.11550094517958412,0.07734036188217389,0.06017498319553365,0.17082690716363458,0.00390625,1.4934109741501718,9,0,1,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_ORIGINAL,0.25,0.005,recall,10,0.1471644612476371,0.05400874101438194,0.10852893537926328,0.18579998711601092,0.001953125,2.7248267314442454,10,0,0,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_ORIGINAL,0.25,0.005,recall,10,0.03166351606805297,0.09431215780046462,-0.03580333733317148,0.09913036946927742,0.31640625,0.33573101078911993,7,1,2,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_ORIGINAL,0.25,0.005,empirical_fpr,10,0.0010536879076768688,0.002649242888666482,-0.0008414662883711979,0.0029488421037249355,0.26953125,0.3977317112691208,6,1,3,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_ORIGINAL,0.25,0.005,empirical_fpr,10,0.0017059708981435099,0.0027906544391522706,-0.0002903430271310849,0.0037022848234181047,0.099609375,0.6113157093938654,7,0,3,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_ORIGINAL,0.25,0.005,empirical_fpr,10,0.000652282990466641,0.003799604349194438,-0.0020657902207529325,0.0033703562016862147,0.619140625,0.171671292724184,7,0,3,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_ORIGINAL,0.25,0.005,precision,10,5.934822365025738e-05,0.008491803280897017,-0.006015321897633867,0.006134018344934381,0.984375,0.006988883478231992,5,0,5,
AL_gain_DAPT_E2E_UNCERTAINTY_minus_RANDOM,DAPT_E2E,IID_ORIGINAL,0.25,0.005,precision,10,-0.0012213793411346874,0.00795352938731028,-0.006910991515328307,0.0044682328330589325,0.64453125,-0.15356444688359072,4,0,6,
INTERACTION_(DAPT_U-DAPT_R)-(T0_U-T0_R),DAPT_vs_T0,IID_ORIGINAL,0.25,0.005,precision,10,-0.0012807275647849447,0.010475246090391355,-0.00877426719747376,0.00621281206790387,0.69921875,-0.12226228899383276,3,0,7,
AL_gain_T0_E2E_UNCERTAINTY_minus_RANDOM,T0_E2E,IID_ORIGINAL,0.25,0.005,f1,10,0.09155485508850096,0.06309520350548356,0.04641926552611358,0.13669044465088834,0.00390625,1.4510588761401488,9,0,1,
