representation,classifier,seed,label_budget,n_train,scenario,n_test,threshold,target_fpr,calibration_fpr,calibration_recall,fit_seconds,predict_seconds,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,iid_ap,iid_recall,iid_f1,iid_fpr,drop_ap,drop_recall,drop_f1,fpr_increase,ap_retention
BASE,LOGREG,42,0.1,400,TEMPORAL,8000,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0596101760002056,0.918040854089804,0.911405125,0.99002849002849,0.17375,0.295618885580604,0.00175,695,7,3993,3305,0.8524317978918843,0.2589792060491493,0.4104868913857677,0.0015052684395383,-0.06560905619791968,0.08522920604914933,0.11486800580516371,0.00024473156046170004,1.076966927278141
BASE,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0269160560001182,0.8895582305703407,0.8885655922630253,0.9776785714285714,0.1135303265940902,0.2034370645610775,0.0025920165889061,219,5,1924,1710,0.8524317978918843,0.2589792060491493,0.4104868913857677,0.0015052684395383,-0.03712643267845639,0.14544887945505913,0.20704982682469023,0.0010867481493678,1.0435535520498793
BASE,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0482987630002753,0.9166973883424776,0.9108258628632856,0.9893617021276596,0.1633489461358313,0.2804020100502513,0.0017564402810304,558,6,3410,2858,0.8524317978918843,0.2589792060491493,0.4104868913857677,0.0015052684395383,-0.06426559045059332,0.095630259913318,0.13008488133551643,0.0002511718414921001,1.0753908882910352
BASE,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0220924199993532,0.8796824802823101,0.8767224194691439,0.9753694581280788,0.1067961165048543,0.1925133689839572,0.0026968716289104,198,5,1849,1656,0.8524317978918843,0.2589792060491493,0.4104868913857677,0.0015052684395383,-0.02725068239042583,0.15218308954429502,0.2179735224018105,0.0011916031893720999,1.0319681673745846
BASE,XGBOOST,42,0.1,400,TEMPORAL,8000,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.01766297200003919,0.8975444058416377,0.8924003125,0.9793956043956044,0.17825,0.30160744500846026,0.00375,713,15,3985,3287,0.7946255207140211,0.10113421550094517,0.18197278911564627,0.0055193176116407425,-0.1029188851276166,-0.07711578449905482,-0.119634655892814,-0.0017693176116407427,1.1295187260473807
BASE,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.008867217999977584,0.8586989145683616,0.8607276834627728,0.9805194805194806,0.0782789009849663,0.14498319731156986,0.0015552099533437014,151,3,1926,1778,0.7946255207140211,0.10113421550094517,0.18197278911564627,0.0055193176116407425,-0.06407339385434041,0.022855314515978872,0.036989591804076405,-0.003964107658297042,1.0806334457981748
BASE,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.015156453000031433,0.8943356991801402,0.8875502011473764,0.988835725677831,0.18149882903981265,0.3067029433588919,0.0020491803278688526,620,7,3409,2796,0.7946255207140211,0.10113421550094517,0.18197278911564627,0.0055193176116407425,-0.09971017846611907,-0.08036461353886748,-0.12473015424324566,-0.00347013728377189,1.125480714961839
BASE,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.00868809999997211,0.8464937847397371,0.8491491617296751,0.9784172661870504,0.07335490830636461,0.1364776718514802,0.0016181229773462784,136,3,1851,1718,0.7946255207140211,0.10113421550094517,0.18197278911564627,0.0055193176116407425,-0.05186826402571598,0.027779307194580563,0.04549511726416608,-0.0039011946342944644,1.0652738462000428
BASE,MLP,42,0.1,400,TEMPORAL,8000,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.0657652820000294,0.9094466636506398,0.90061934375,0.9736024844720497,0.3135,0.4742813918305598,0.0085,1254,34,3966,2746,0.8472223446253704,0.34120982986767484,0.5041899441340782,0.006522829904666332,-0.06222431902526937,0.02770982986767484,0.029908552303518465,0.0019771700953336684,1.0734450872548504
BASE,MLP,42,0.1,400,DOMAIN_OOD,3858,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.027894551000031242,0.8702722232146491,0.868718458087401,0.9521410579345088,0.19595645412130638,0.3250214961306965,0.009849663037843442,378,19,1910,1551,0.8472223446253704,0.34120982986767484,0.5041899441340782,0.006522829904666332,-0.02304987858927876,0.14525337574636846,0.17916844800338178,0.0033268331331771095,1.0272064101419223
BASE,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.04790049500002169,0.9054913172079063,0.8970196475190452,0.9765698219306467,0.3050351288056206,0.4648672763774258,0.007318501170960188,1042,25,3391,2374,0.8472223446253704,0.34120982986767484,0.5041899441340782,0.006522829904666332,-0.05826897258253594,0.036174701062054226,0.03932266775665244,0.0007956712662938554,1.0687764822920265
BASE,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.026160294999954203,0.8580664870002435,0.8553734949012544,0.9484240687679083,0.17853290183387271,0.30049931911030414,0.009708737864077669,331,18,1836,1523,0.8472223446253704,0.34120982986767484,0.5041899441340782,0.006522829904666332,-0.010844142374873078,0.16267692803380213,0.2036906250237741,0.003185907959411337,1.0127996416096274
DAPT,LOGREG,42,0.1,400,TEMPORAL,8000,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.061062970999955724,0.9151393528299777,0.9021093750000001,0.9899777282850779,0.22225,0.3630053082890976,0.00225,889,9,3991,3111,0.8367207193567879,0.14839319470699433,0.2575881870385562,0.002007024586051179,-0.07841863347318978,-0.07385680529300567,-0.10541712125054142,0.00024297541394882084,1.0937213955135143
DAPT,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.0254795880000529,0.8904571013486733,0.8825498025955638,0.9745454545454545,0.13893208916537067,0.24319419237749546,0.0036288232244686366,268,7,1922,1661,0.8367207193567879,0.14839319470699433,0.2575881870385562,0.002007024586051179,-0.05373638199188535,0.00946110554162366,0.014393994661060727,0.0016217986384174576,1.0642226022957746
DAPT,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.04770656499999859,0.9151737023189007,0.9035352988279429,0.9875346260387812,0.20872365339578455,0.34461092315128083,0.0026346604215456673,713,9,3407,2703,0.8367207193567879,0.14839319470699433,0.2575881870385562,0.002007024586051179,-0.07845298296211278,-0.06033045868879022,-0.08702273611272465,0.0006276358354944883,1.093762448027368
DAPT,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.022335515000008854,0.8782175371202539,0.8682826949864372,0.9711934156378601,0.1272923408845739,0.22508345255126372,0.0037756202804746495,236,7,1847,1618,0.8367207193567879,0.14839319470699433,0.2575881870385562,0.002007024586051179,-0.04149681776346592,0.02110085382242044,0.032504734487292464,0.0017685956944234705,1.0495945861067786
DAPT,XGBOOST,42,0.1,400,TEMPORAL,8000,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.018126758999983394,0.891378540247235,0.8793841874999999,0.9919517102615694,0.2465,0.394873848618342,0.002,986,8,3992,3014,0.8018627007784181,0.22495274102079396,0.36363636363636365,0.006522829904666332,-0.0895158394688168,-0.021547258979206035,-0.03123748498197837,-0.004522829904666332,1.1116348713837396
DAPT,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.008924575000037294,0.851344216428065,0.851068558502849,0.9750889679715302,0.14204250907205807,0.24796380090497738,0.0036288232244686366,274,7,1922,1655,0.8018627007784181,0.22495274102079396,0.36363636363636365,0.006522829904666332,-0.04948151564964687,0.0829102319487359,0.11567256273138626,-0.0028940066801976957,1.0617082146377579
DAPT,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.015166739000051166,0.8881451739096473,0.8766595172737195,0.9914738124238733,0.2382903981264637,0.3842341279206986,0.0020491803278688526,814,7,3409,2602,0.8018627007784181,0.22495274102079396,0.36363636363636365,0.006522829904666332,-0.08628247313122916,-0.013337657105669726,-0.020597764284334963,-0.004473649576797479,1.107602552216819
DAPT,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.008216345999926489,0.8351875191355482,0.8331451050761699,0.9715447154471545,0.12891046386192018,0.2276190476190476,0.0037756202804746495,239,7,1847,1615,0.8018627007784181,0.22495274102079396,0.36363636363636365,0.006522829904666332,-0.03332481835713008,0.09604227715887378,0.13601731601731604,-0.0027472096241916827,1.0415592573700954
DAPT,MLP,42,0.1,400,TEMPORAL,8000,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.059856022999952074,0.9117350075317493,0.9030664374999999,0.9808459696727854,0.30725,0.4679230915667238,0.006,1229,24,3976,2771,0.8263416780141808,0.23724007561436672,0.377160030052592,0.011038635223281485,-0.0853933295175685,-0.0700099243856333,-0.09076306151413177,-0.005038635223281485,1.1033390082934955
DAPT,MLP,42,0.1,400,DOMAIN_OOD,3858,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.026628574000028493,0.8779480183053615,0.8752026650606644,0.9733333333333334,0.18921721099015035,0.3168402777777778,0.005184033177812338,365,10,1919,1564,0.8263416780141808,0.23724007561436672,0.377160030052592,0.011038635223281485,-0.05160634029118072,0.04802286462421637,0.06031975227481423,-0.005854602045469147,1.062451576223528
DAPT,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.04660310700000991,0.9091005888383092,0.9009964902045204,0.9854085603112841,0.2965456674473068,0.45589558955895587,0.004391100702576112,1013,15,3401,2403,0.8263416780141808,0.23724007561436672,0.377160030052592,0.011038635223281485,-0.08275891082412845,-0.0593055918329401,-0.07873555950636385,-0.006647534520705373,1.1001509581641944
DAPT,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9953034520149231,0.005,0.00468384074941452,0.24503311258278146,0.4706542860000127,0.02569826399997055,0.864587006552688,0.8601430592939374,0.9694189602446484,0.1709816612729234,0.2906923429619441,0.005393743257820928,317,10,1844,1537,0.8263416780141808,0.23724007561436672,0.377160030052592,0.011038635223281485,-0.03824532853850726,0.0662584143414433,0.08646768709064795,-0.005644891965460557,1.0462827055152493
CONTRASTIVE,LOGREG,42,0.1,400,TEMPORAL,8000,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.07317361200000505,0.8609343798085001,0.8532411875,0.9871794871794872,0.0385,0.0741097208854668,0.0005,154,2,3998,3846,0.7667500650449167,0.035916824196597356,0.06909090909090909,0.002007024586051179,-0.09418431476358335,-0.002583175803402643,-0.005018811794557709,-0.001507024586051179,1.122835744080525
CONTRASTIVE,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.029116113999975823,0.8261878870507886,0.8211454805254766,0.9629629629629629,0.02695697252462416,0.052445789208270296,0.0010368066355624676,52,2,1927,1877,0.7667500650449167,0.035916824196597356,0.06909090909090909,0.002007024586051179,-0.05943782200587189,0.008959851671973197,0.016645119882638795,-0.0009702179504887114,1.0775191613480855
CONTRASTIVE,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.044902094999997644,0.8603166219008598,0.8522724546012977,0.9849624060150376,0.03834894613583138,0.07382361228515075,0.000585480093676815,131,2,3414,3285,0.7667500650449167,0.035916824196597356,0.06909090909090909,0.002007024586051179,-0.09356655685594306,-0.0024321219392340263,-0.004732703194241655,-0.001421544492374364,1.1220300605392997
CONTRASTIVE,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9992507666442012,0.005,0.00468384074941452,0.04415011037527594,0.019942944000035823,0.01977785799999765,0.8164009076024514,0.8104992383592314,0.9615384615384616,0.02696871628910464,0.05246589716684155,0.0010787486515641855,50,2,1852,1804,0.7667500650449167,0.035916824196597356,0.06909090909090909,0.002007024586051179,-0.04965084255753471,0.008948107907492717,0.01662501192406754,-0.0009282759344869935,1.064754924480673
CONTRASTIVE,XGBOOST,42,0.1,400,TEMPORAL,8000,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.020818888000007973,0.8361877752091628,0.8249835624999999,0.9754768392370572,0.0895,0.1639569498511564,0.00225,358,9,3991,3642,0.7172357504813407,0.09829867674858223,0.1776259607173356,0.004515805318615153,-0.11895202472782207,0.00879867674858223,0.013669010866179193,-0.002265805318615153,1.1658478744931395
CONTRASTIVE,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.01075845900004424,0.7988854037897182,0.7892909537949192,0.9508196721311475,0.06013478486262312,0.11311555338859093,0.003110419906687403,116,6,1923,1813,0.7172357504813407,0.09829867674858223,0.1776259607173356,0.004515805318615153,-0.08164965330837748,0.0381638918859591,0.06451040732874468,-0.00140538541192775,1.1138393523378916
CONTRASTIVE,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.018269716999952834,0.8327292439824844,0.8205095596421852,0.9735973597359736,0.08635831381733021,0.15864479698843775,0.00234192037470726,295,8,3408,3121,0.7172357504813407,0.09829867674858223,0.1776259607173356,0.004515805318615153,-0.11549349350114368,0.011940362931252016,0.018981163728897854,-0.002173884943907893,1.1610258459978262
CONTRASTIVE,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9926749467849731,0.005,0.00468384074941452,0.09933774834437085,2.736205357000017,0.009648844000025747,0.7873499788848858,0.7800295346718196,0.9494949494949495,0.05070118662351672,0.09626216077828981,0.002696871628910464,94,5,1849,1760,0.7172357504813407,0.09829867674858223,0.1776259607173356,0.004515805318615153,-0.07011422840354509,0.047597490125065506,0.0813637999390458,-0.0018189336897046888,1.0977561817805248
CONTRASTIVE,MLP,42,0.1,400,TEMPORAL,8000,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.07525458399993568,0.8734970463876485,0.86703803125,0.9761499148211243,0.14325,0.249836494440811,0.0035,573,14,3986,3427,0.7718509251397644,0.12287334593572778,0.21739130434782608,0.004014049172102358,-0.10164612124788408,-0.020376654064272207,-0.03244519009298491,-0.0005140491721023579,1.1316913900562837
CONTRASTIVE,MLP,42,0.1,400,DOMAIN_OOD,3858,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.04320874999996249,0.8381014388604534,0.8374718257605869,0.9483870967741935,0.07620528771384137,0.14107485604606526,0.00414722654224987,147,8,1921,1782,0.7718509251397644,0.12287334593572778,0.21739130434782608,0.004014049172102358,-0.06625051372068902,0.04666805822188641,0.07631644830176082,0.00013317737014751242,1.0858333022127202
CONTRASTIVE,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.9996737837791443,0.005,0.00468384074941452,0.10375275938189846,0.4533132099999193,0.0682386169999063,0.8730392203236037,0.8653704721273082,0.9779116465863453,0.14256440281030444,0.24885028104241186,0.0032201405152224825,487,11,3405,2929,0.7718509251397644,0.12287334593572778,0.21739130434782608,0.004014049172102358,-0.10118829518383932,-0.01969105687457666,-0.03145897669458578,-0.0007939086568798754,1.1310982365740074
