effect,representation,classifier,label_budget,scenario,metric,mean,ci95_low,ci95_high,n_seeds
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,DOMAIN_OOD,delta_ssl_ap,-0.0897697234512899,-0.12081252805147041,-0.058726918851109394,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,DOMAIN_OOD,delta_ssl_recall,-0.1448418869880767,-0.24871401341659713,-0.040969760559556284,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,DOMAIN_OOD,delta_ssl_f1,-0.20405795157338796,-0.3356734740426749,-0.07244242910410104,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,delta_ssl_ap,-0.08852205791339274,-0.1212918458901695,-0.05575226993661597,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,delta_ssl_recall,-0.13991370010787485,-0.23299007645168401,-0.0468373237640657,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,delta_ssl_f1,-0.1983154353649439,-0.31551985290047524,-0.08111101782941255,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,IID,delta_ssl_ap,-0.09869486227877947,-0.12613052848847134,-0.07125919606908761,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,IID,delta_ssl_recall,-0.15765595463137996,-0.26568221348670307,-0.04962969577605686,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,IID,delta_ssl_f1,-0.2121616908974131,-0.3661741050642638,-0.058149276730562416,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,TEMPLATE_OOD,delta_ssl_ap,-0.0707561946631736,-0.09565338906343833,-0.04585900026290886,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,TEMPLATE_OOD,delta_ssl_recall,-0.12675644028103045,-0.23561542803868468,-0.017897452523376225,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,TEMPLATE_OOD,delta_ssl_f1,-0.16856243819116723,-0.3114320126946952,-0.025692863687639234,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,TEMPORAL,delta_ssl_ap,-0.07530890836834003,-0.10155519768053412,-0.04906261905614595,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,TEMPORAL,delta_ssl_recall,-0.1355,-0.2462308737916759,-0.02476912620832411,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.1,TEMPORAL,delta_ssl_f1,-0.18030848646041925,-0.3249099533335947,-0.035707019587243816,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,DOMAIN_OOD,delta_ssl_ap,-0.07437751043143707,-0.08649707401783446,-0.06225794684503969,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,DOMAIN_OOD,delta_ssl_recall,-0.07019180922757906,-0.16763121684656968,0.027247598391411568,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,DOMAIN_OOD,delta_ssl_f1,-0.09737216569537221,-0.22553008904272995,0.030785757651985518,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,delta_ssl_ap,-0.07528241506893829,-0.08688978336723038,-0.0636750467706462,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,delta_ssl_recall,-0.06882416396979504,-0.1711608364974657,0.0335125085578756,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,delta_ssl_f1,-0.09710247542269985,-0.2322693528226309,0.038064401977231196,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,IID,delta_ssl_ap,-0.07641356631526444,-0.09684833877030075,-0.05597879386022813,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,IID,delta_ssl_recall,-0.01285444234404537,-0.10910930509231638,0.08340042040422564,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,IID,delta_ssl_f1,-0.019048478063437624,-0.14867995603271972,0.11058299990584447,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,TEMPLATE_OOD,delta_ssl_ap,-0.059076587935422364,-0.06382532387341373,-0.054327851997430995,5
SSL_vs_BASE,CONTRASTIVE,LOGREG,0.25,TEMPLATE_OOD,delta_ssl_recall,-0.03196721311475409,-0.133058269868618,0.06912384363910981,5
