representation,classifier,seed,label_budget,n_train,scenario,n_test,threshold,target_fpr,calibration_fpr,calibration_recall,fit_seconds,predict_seconds,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn
BASE,LOGREG,42,0.1,400,IID,3051,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0255440740002086,0.8524317978918843,0.8928622579785392,0.9891696750902528,0.2589792060491493,0.4104868913857677,0.0015052684395383,274,3,1990,784
BASE,LOGREG,42,0.1,400,TEMPORAL,8000,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0596101760002056,0.918040854089804,0.911405125,0.99002849002849,0.17375,0.295618885580604,0.00175,695,7,3993,3305
BASE,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0269160560001182,0.8895582305703407,0.8885655922630253,0.9776785714285714,0.1135303265940902,0.2034370645610775,0.0025920165889061,219,5,1924,1710
BASE,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0482987630002753,0.9166973883424776,0.9108258628632856,0.9893617021276596,0.1633489461358313,0.2804020100502513,0.0017564402810304,558,6,3410,2858
BASE,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.993382889160526,0.005,0.0046838407494145,0.2362030905077262,0.025866785999824,0.0220924199993532,0.8796824802823101,0.8767224194691439,0.9753694581280788,0.1067961165048543,0.1925133689839572,0.0026968716289104,198,5,1849,1656
BASE,XGBOOST,42,0.1,400,IID,3051,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.008174737999979698,0.7946255207140211,0.8777626228662322,0.9067796610169492,0.10113421550094517,0.18197278911564627,0.0055193176116407425,107,11,1982,951
BASE,XGBOOST,42,0.1,400,TEMPORAL,8000,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.01766297200003919,0.8975444058416377,0.8924003125,0.9793956043956044,0.17825,0.30160744500846026,0.00375,713,15,3985,3287
BASE,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.008867217999977584,0.8586989145683616,0.8607276834627728,0.9805194805194806,0.0782789009849663,0.14498319731156986,0.0015552099533437014,151,3,1926,1778
BASE,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.015156453000031433,0.8943356991801402,0.8875502011473764,0.988835725677831,0.18149882903981265,0.3067029433588919,0.0020491803278688526,620,7,3409,2796
BASE,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9927988648414612,0.005,0.00468384074941452,0.11037527593818984,2.281039025000041,0.00868809999997211,0.8464937847397371,0.8491491617296751,0.9784172661870504,0.07335490830636461,0.1364776718514802,0.0016181229773462784,136,3,1851,1718
BASE,MLP,42,0.1,400,IID,3051,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.023000049000074796,0.8472223446253704,0.894692861688879,0.9652406417112299,0.34120982986767484,0.5041899441340782,0.006522829904666332,361,13,1980,697
BASE,MLP,42,0.1,400,TEMPORAL,8000,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.0657652820000294,0.9094466636506398,0.90061934375,0.9736024844720497,0.3135,0.4742813918305598,0.0085,1254,34,3966,2746
BASE,MLP,42,0.1,400,DOMAIN_OOD,3858,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.027894551000031242,0.8702722232146491,0.868718458087401,0.9521410579345088,0.19595645412130638,0.3250214961306965,0.009849663037843442,378,19,1910,1551
BASE,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.9951568841934204,0.005,0.00468384074941452,0.32671081677704195,0.32744471800003794,0.04790049500002169,0.9054913172079063,0.8970196475190452,0.9765698219306467,0.3050351288056206,0.4648672763774258,0.007318501170960188,1042,25,3391,2374
