representation,classifier,seed,label_budget,n_train,scenario,n_test,target_fpr,threshold,calibration_empirical_fpr,calibration_recall,fit_seconds,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,prevalence_phish
BASE,LOGREG,42,0.1,400,IID_ORIGINAL,3051,0.005,0.993382889160526,0.00468384074941452,0.23620309050772628,0.03604235599959793,0.8524317978918843,0.8928622579785392,0.9891696750902527,0.2589792060491493,0.41048689138576777,0.0015052684395383843,274,3,1990,784,0.3467715503113733
BASE,LOGREG,42,0.1,400,IID_BALANCED,2116,0.005,0.993382889160526,0.00468384074941452,0.23620309050772628,0.03604235599959793,0.9037980924555247,0.8915509164132489,0.9891696750902527,0.2589792060491493,0.41048689138576777,0.002835538752362949,274,3,1055,784,0.5
BASE,LOGREG,42,0.1,400,TEMPORAL,8000,0.005,0.993382889160526,0.00468384074941452,0.23620309050772628,0.03604235599959793,0.918040854089804,0.9114051249999999,0.99002849002849,0.17375,0.295618885580604,0.00175,695,7,3993,3305,0.5
BASE,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.005,0.993382889160526,0.00468384074941452,0.23620309050772628,0.03604235599959793,0.8895582305703407,0.8885655922630253,0.9776785714285714,0.11353032659409021,0.20343706456107757,0.002592016588906169,219,5,1924,1710,0.5
BASE,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.005,0.993382889160526,0.00468384074941452,0.23620309050772628,0.03604235599959793,0.9166973883424776,0.9108258628632857,0.9893617021276596,0.16334894613583137,0.2804020100502513,0.001756440281030445,558,6,3410,2858,0.5
BASE,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.005,0.993382889160526,0.00468384074941452,0.23620309050772628,0.03604235599959793,0.8796824802823101,0.8767224194691439,0.9753694581280788,0.10679611650485436,0.1925133689839572,0.002696871628910464,198,5,1849,1656,0.5
BASE,LOGREG,42,0.1,400,IID_ORIGINAL,3051,0.01,0.9837506800858931,0.00936768149882904,0.3576158940397351,0.03604235599959793,0.8524317978918843,0.8928622579785392,0.9744897959183674,0.3610586011342155,0.526896551724138,0.005017561465127948,382,10,1983,676,0.3467715503113733
BASE,LOGREG,42,0.1,400,IID_BALANCED,2116,0.01,0.9837506800858931,0.00936768149882904,0.3576158940397351,0.03604235599959793,0.9037980924555247,0.8915509164132489,0.9896373056994818,0.3610586011342155,0.5290858725761773,0.003780718336483932,382,4,1054,676,0.5
BASE,LOGREG,42,0.1,400,TEMPORAL,8000,0.01,0.9837506800858931,0.00936768149882904,0.3576158940397351,0.03604235599959793,0.918040854089804,0.9114051249999999,0.9846005774783445,0.25575,0.4060329430442548,0.004,1023,16,3984,2977,0.5
BASE,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.01,0.9837506800858931,0.00936768149882904,0.3576158940397351,0.03604235599959793,0.8895582305703407,0.8885655922630253,0.971830985915493,0.17884914463452567,0.3021015761821366,0.005184033177812338,345,10,1919,1584,0.5
BASE,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.01,0.9837506800858931,0.00936768149882904,0.3576158940397351,0.03604235599959793,0.9166973883424776,0.9108258628632857,0.9824561403508771,0.2459016393442623,0.39335050339498945,0.004391100702576112,840,15,3401,2576,0.5
BASE,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.01,0.9837506800858931,0.00936768149882904,0.3576158940397351,0.03604235599959793,0.8796824802823101,0.8767224194691439,0.9686520376175548,0.16666666666666666,0.2843994477680626,0.005393743257820928,309,10,1844,1545,0.5
BASE,LOGREG,42,0.1,400,IID_ORIGINAL,3051,0.02,0.9305425814419415,0.01990632318501171,0.4966887417218543,0.03604235599959793,0.8524317978918843,0.8928622579785392,0.9356617647058824,0.4810964083175803,0.6354556803995006,0.017561465127947817,509,35,1958,549,0.3467715503113733
BASE,LOGREG,42,0.1,400,IID_BALANCED,2116,0.02,0.9305425814419415,0.01990632318501171,0.4966887417218543,0.03604235599959793,0.9037980924555247,0.8915509164132489,0.967680608365019,0.4810964083175803,0.6426767676767676,0.01606805293005671,509,17,1041,549,0.5
BASE,LOGREG,42,0.1,400,TEMPORAL,8000,0.02,0.9305425814419415,0.01990632318501171,0.4966887417218543,0.03604235599959793,0.918040854089804,0.9114051249999999,0.9630044843049327,0.4295,0.5940525587828492,0.0165,1718,66,3934,2282,0.5
BASE,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.02,0.9305425814419415,0.01990632318501171,0.4966887417218543,0.03604235599959793,0.8895582305703407,0.8885655922630253,0.942008486562942,0.3452566096423017,0.5053110773899848,0.021254536029030584,666,41,1888,1263,0.5
BASE,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.02,0.9305425814419415,0.01990632318501171,0.4966887417218543,0.03604235599959793,0.9166973883424776,0.9108258628632857,0.9639945652173914,0.4153981264637002,0.5806055646481179,0.015515222482435597,1419,53,3363,1997,0.5
BASE,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.02,0.9305425814419415,0.01990632318501171,0.4966887417218543,0.03604235599959793,0.8796824802823101,0.8767224194691439,0.940625,0.32470334412081986,0.4827586206896552,0.020496224379719527,602,38,1816,1252,0.5
BASE,XGBOOST,42,0.1,400,IID_ORIGINAL,3051,0.005,0.9927988052368165,0.00468384074941452,0.11037527593818984,2.180821081999966,0.7946255207140211,0.8777626228662322,0.9067796610169492,0.10113421550094517,0.18197278911564627,0.0055193176116407425,107,11,1982,951,0.3467715503113733
BASE,XGBOOST,42,0.1,400,IID_BALANCED,2116,0.005,0.9927988052368165,0.00468384074941452,0.11037527593818984,2.180821081999966,0.8671597506491449,0.8762824246625762,0.9385964912280702,0.10113421550094517,0.1825938566552901,0.006616257088846881,107,7,1051,951,0.5
BASE,XGBOOST,42,0.1,400,TEMPORAL,8000,0.005,0.9927988052368165,0.00468384074941452,0.11037527593818984,2.180821081999966,0.8975444058416377,0.8924003125,0.9793956043956044,0.17825,0.30160744500846026,0.00375,713,15,3985,3287,0.5
BASE,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.005,0.9927988052368165,0.00468384074941452,0.11037527593818984,2.180821081999966,0.8586989145683616,0.8607276834627728,0.9805194805194806,0.0782789009849663,0.14498319731156986,0.0015552099533437014,151,3,1926,1778,0.5
BASE,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.005,0.9927988052368165,0.00468384074941452,0.11037527593818984,2.180821081999966,0.8943356991801402,0.8875502011473764,0.988835725677831,0.18149882903981265,0.3067029433588919,0.0020491803278688526,620,7,3409,2796,0.5
BASE,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.005,0.9927988052368165,0.00468384074941452,0.11037527593818984,2.180821081999966,0.8464937847397371,0.8491491617296751,0.9784172661870504,0.07335490830636461,0.1364776718514802,0.0016181229773462784,136,3,1851,1718,0.5
BASE,XGBOOST,42,0.1,400,IID_ORIGINAL,3051,0.01,0.9896691441535951,0.00936768149882904,0.1346578366445916,2.180821081999966,0.7946255207140211,0.8777626228662322,0.896774193548387,0.13137996219281664,0.2291838417147568,0.008028098344204716,139,16,1977,919,0.3467715503113733
BASE,XGBOOST,42,0.1,400,IID_BALANCED,2116,0.01,0.9896691441535951,0.00936768149882904,0.1346578366445916,2.180821081999966,0.8671597506491449,0.8762824246625762,0.9391891891891891,0.13137996219281664,0.23051409618573798,0.008506616257088847,139,9,1049,919,0.5
BASE,XGBOOST,42,0.1,400,TEMPORAL,8000,0.01,0.9896691441535951,0.00936768149882904,0.1346578366445916,2.180821081999966,0.8975444058416377,0.8924003125,0.9727891156462585,0.2145,0.351495288816059,0.006,858,24,3976,3142,0.5
BASE,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.01,0.9896691441535951,0.00936768149882904,0.1346578366445916,2.180821081999966,0.8586989145683616,0.8607276834627728,0.9528301886792453,0.10471747019180923,0.18869687062120505,0.005184033177812338,202,10,1919,1727,0.5
BASE,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.01,0.9896691441535951,0.00936768149882904,0.1346578366445916,2.180821081999966,0.8943356991801402,0.8875502011473764,0.9800266311584553,0.2154566744730679,0.35325173986081115,0.004391100702576112,736,15,3401,2680,0.5
BASE,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.01,0.9896691441535951,0.00936768149882904,0.1346578366445916,2.180821081999966,0.8464937847397371,0.8491491617296751,0.9479166666666666,0.09816612729234088,0.17790811339198437,0.005393743257820928,182,10,1844,1672,0.5
BASE,XGBOOST,42,0.1,400,IID_ORIGINAL,3051,0.02,0.9622293710708619,0.01990632318501171,0.3509933774834437,2.180821081999966,0.7946255207140211,0.8777626228662322,0.8886198547215496,0.34688090737240074,0.4989802855200544,0.02308078273958856,367,46,1947,691,0.3467715503113733
BASE,XGBOOST,42,0.1,400,IID_BALANCED,2116,0.02,0.9622293710708619,0.01990632318501171,0.3509933774834437,2.180821081999966,0.8671597506491449,0.8762824246625762,0.9314720812182741,0.34688090737240074,0.5055096418732782,0.02551984877126654,367,27,1031,691,0.5
BASE,XGBOOST,42,0.1,400,TEMPORAL,8000,0.02,0.9622293710708619,0.01990632318501171,0.3509933774834437,2.180821081999966,0.8975444058416377,0.8924003125,0.9571906354515051,0.35775,0.5208371246587807,0.016,1431,64,3936,2569,0.5
BASE,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.02,0.9622293710708619,0.01990632318501171,0.3509933774834437,2.180821081999966,0.8586989145683616,0.8607276834627728,0.9271255060728745,0.23742871954380507,0.378043747420553,0.01866251944012442,458,36,1893,1471,0.5
BASE,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.02,0.9622293710708619,0.01990632318501171,0.3509933774834437,2.180821081999966,0.8943356991801402,0.8875502011473764,0.9575510204081633,0.343384074941452,0.5054945054945055,0.01522248243559719,1173,52,3364,2243,0.5
BASE,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.02,0.9622293710708619,0.01990632318501171,0.3509933774834437,2.180821081999966,0.8464937847397371,0.8491491617296751,0.9178082191780822,0.2168284789644013,0.3507853403141361,0.019417475728155338,402,36,1818,1452,0.5
BASE,MLP,42,0.1,400,IID_ORIGINAL,3051,0.005,0.9951568245887757,0.00468384074941452,0.32671081677704195,0.3127501389999452,0.8472223446253704,0.894692861688879,0.9652406417112299,0.34120982986767484,0.5041899441340782,0.006522829904666332,361,13,1980,697,0.3467715503113733
BASE,MLP,42,0.1,400,IID_BALANCED,2116,0.005,0.9951568245887757,0.00468384074941452,0.32671081677704195,0.3127501389999452,0.9020461070448695,0.8933045908212164,0.9809782608695652,0.34120982986767484,0.5063113604488079,0.006616257088846881,361,7,1051,697,0.5
BASE,MLP,42,0.1,400,TEMPORAL,8000,0.005,0.9951568245887757,0.00468384074941452,0.32671081677704195,0.3127501389999452,0.9094466636506398,0.90061934375,0.9736024844720497,0.3135,0.4742813918305598,0.0085,1254,34,3966,2746,0.5
BASE,MLP,42,0.1,400,DOMAIN_OOD,3858,0.005,0.9951568245887757,0.00468384074941452,0.32671081677704195,0.3127501389999452,0.8702722232146491,0.868718458087401,0.9521410579345088,0.19595645412130638,0.3250214961306965,0.009849663037843442,378,19,1910,1551,0.5
BASE,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.005,0.9951568245887757,0.00468384074941452,0.32671081677704195,0.3127501389999452,0.9054913172079063,0.8970196475190452,0.9765698219306467,0.3050351288056206,0.4648672763774258,0.007318501170960188,1042,25,3391,2374,0.5
BASE,MLP,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.005,0.9951568245887757,0.00468384074941452,0.32671081677704195,0.3127501389999452,0.8580664870002435,0.8553734949012544,0.9484240687679083,0.17853290183387271,0.30049931911030414,0.009708737864077669,331,18,1836,1523,0.5
BASE,MLP,42,0.1,400,IID_ORIGINAL,3051,0.01,0.9860240221023561,0.00936768149882904,0.4282560706401766,0.3127501389999452,0.8472223446253704,0.894692861688879,0.9523809523809523,0.4158790170132325,0.5789473684210527,0.011038635223281485,440,22,1971,618,0.3467715503113733
BASE,MLP,42,0.1,400,IID_BALANCED,2116,0.01,0.9860240221023561,0.00936768149882904,0.4282560706401766,0.3127501389999452,0.9020461070448695,0.8933045908212164,0.9713024282560706,0.4158790170132325,0.5823957643944407,0.012287334593572778,440,13,1045,618,0.5
BASE,MLP,42,0.1,400,TEMPORAL,8000,0.01,0.9860240221023561,0.00936768149882904,0.4282560706401766,0.3127501389999452,0.9094466636506398,0.90061934375,0.9642172523961662,0.37725,0.5423180592991914,0.014,1509,56,3944,2491,0.5
BASE,MLP,42,0.1,400,DOMAIN_OOD,3858,0.01,0.9860240221023561,0.00936768149882904,0.4282560706401766,0.3127501389999452,0.8702722232146491,0.868718458087401,0.9352380952380952,0.2545360290305858,0.4001629991850041,0.01762571280456195,491,34,1895,1438,0.5
BASE,MLP,42,0.1,400,TEMPLATE_OOD,6832,0.01,0.9860240221023561,0.00936768149882904,0.4282560706401766,0.3127501389999452,0.9054913172079063,0.8970196475190452,0.9660347551342812,0.35802107728337235,0.5224263135412217,0.012587822014051522,1223,43,3373,2193,0.5
