feature_index,feature
0,url_length
1,host_length
2,path_length
3,query_length
4,digit_ratio_url
5,dot_count
6,hyphen_count
7,at_count
8,percent_count
9,equals_count
10,ampersand_count
11,slash_count
12,subdomain_count
13,https_flag
14,ip_host_flag
15,punycode_flag
16,host_entropy
17,path_entropy
18,suspicious_terms_url
19,html_length
20,visible_text_length
21,title_length
22,form_count
23,input_count
24,password_input_count
25,hidden_input_count
26,button_count
27,link_count
28,external_link_ratio
29,external_form_action_count
30,script_count
31,iframe_count
32,meta_refresh_count
33,event_handler_count
34,suspicious_terms_text
35,text_markup_ratio
