representation,classifier,seed,label_budget,target_fpr,comparison,n_each_test,iid_ap,ood_ap,ap_delta_ood_minus_iid,iid_empirical_fpr,ood_empirical_fpr,empirical_fpr_delta
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->TEMPORAL,2116,0.9037980924555247,0.9125575354570317,0.008759443001506995,0.002835538752362949,0.003780718336483932,0.0009451795841209829
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->DOMAIN_OOD,2116,0.9037980924555247,0.8872050860421479,-0.0165930064133768,0.002835538752362949,0.001890359168241966,-0.0009451795841209831
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->TEMPLATE_OOD,2116,0.9037980924555247,0.9094846379028645,0.005686545447339819,0.002835538752362949,0.001890359168241966,-0.0009451795841209831
BASE,LOGREG,42,0.1,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9037980924555247,0.8804328071886078,-0.023365285266916835,0.002835538752362949,0.001890359168241966,-0.0009451795841209831
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->TEMPORAL,2116,0.9037980924555247,0.9125575354570317,0.008759443001506995,0.003780718336483932,0.003780718336483932,0.0
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->DOMAIN_OOD,2116,0.9037980924555247,0.8872050860421479,-0.0165930064133768,0.003780718336483932,0.003780718336483932,0.0
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->TEMPLATE_OOD,2116,0.9037980924555247,0.9094846379028645,0.005686545447339819,0.003780718336483932,0.004725897920604915,0.0009451795841209829
BASE,LOGREG,42,0.1,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,0.9037980924555247,0.8804328071886078,-0.023365285266916835,0.003780718336483932,0.004725897920604915,0.0009451795841209829
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->TEMPORAL,2116,0.9037980924555247,0.9125575354570317,0.008759443001506995,0.01606805293005671,0.017958412098298678,0.0018903591682419667
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->DOMAIN_OOD,2116,0.9037980924555247,0.8872050860421479,-0.0165930064133768,0.01606805293005671,0.024574669187145556,0.008506616257088845
BASE,LOGREG,42,0.1,0.02,IID_BALANCED->TEMPLATE_OOD,2116,0.9037980924555247,0.9094846379028645,0.005686545447339819,0.01606805293005671,0.01984877126654064,0.00378071833648393
