model,strategy,seed,from_budget,to_budget,selected_n,selected_benign,selected_phish,selected_phish_share,mean_abs_distance_to_0p5,selection_source
T0_E2E,UNCERTAINTY_GLOBAL,42,0.1,0.15,200,86,114,0.57,0.3431675828061998,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,42,0.15,0.2,200,49,151,0.755,0.4389797185198404,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,42,0.2,0.25,200,165,35,0.175,0.4796186397934798,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,52,0.1,0.15,200,93,107,0.535,0.34839848775416615,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,52,0.15,0.2,200,76,124,0.62,0.4257501808460802,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,52,0.2,0.25,200,97,103,0.515,0.4913625324331224,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,62,0.1,0.15,200,96,104,0.52,0.367063001464121,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,62,0.15,0.2,200,132,68,0.34,0.4432284033461474,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,62,0.2,0.25,200,27,173,0.865,0.4767630776739679,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,72,0.1,0.15,200,97,103,0.515,0.3517387315724045,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,72,0.15,0.2,200,52,148,0.74,0.4307038137689233,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,72,0.2,0.25,200,79,121,0.605,0.4746695838868618,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,82,0.1,0.15,200,84,116,0.58,0.31888142429292204,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,82,0.15,0.2,200,64,136,0.68,0.4429362076963298,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,82,0.2,0.25,200,146,54,0.27,0.48084725288674235,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,242,0.1,0.15,200,90,110,0.55,0.3184521609544754,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,242,0.15,0.2,200,79,121,0.605,0.40024260140489787,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,242,0.2,0.25,200,101,99,0.495,0.4745444033225067,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,252,0.1,0.15,200,106,94,0.47,0.362183989090845,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,252,0.15,0.2,200,60,140,0.7,0.4087891133828089,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,252,0.2,0.25,200,102,98,0.49,0.48352510229044127,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,262,0.1,0.15,200,77,123,0.615,0.34959334049373864,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,262,0.15,0.2,200,93,107,0.535,0.4410483286250383,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,262,0.2,0.25,200,54,146,0.73,0.4766269300703425,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,272,0.1,0.15,200,79,121,0.605,0.33574689146131276,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,272,0.15,0.2,200,107,93,0.465,0.4527850255405065,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,272,0.2,0.25,200,73,127,0.635,0.47998177256435154,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,282,0.1,0.15,200,82,118,0.59,0.3937953181704506,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,282,0.15,0.2,200,107,93,0.465,0.402149544400163,T0 own uncertainty
T0_E2E,UNCERTAINTY_GLOBAL,282,0.2,0.25,200,29,171,0.855,0.49004631556861566,T0 own uncertainty
