representation,classifier,label_budget,scenario,target_fpr,n_test,prevalence_phish,average_precision_mean,average_precision_std,roc_auc_mean,recall_mean,recall_std,precision_mean,f1_mean,calibration_empirical_fpr_mean,empirical_fpr_mean,empirical_fpr_std,fp_mean,fn_mean
BASE,LOGREG,0.1,DOMAIN_OOD,0.005,3858,0.5,0.8913701860833619,0.006759737071066187,0.885701232531434,0.2420943494038362,0.11395679408670571,0.969521029934806,0.37656833436726667,0.00468384074941452,0.006946604458268534,0.002581627703056243,13.4,1462.0
BASE,LOGREG,0.1,DOMAIN_OOD,0.01,3858,0.5,0.8913701860833619,0.006759737071066187,0.885701232531434,0.2932089165370658,0.10041420077033411,0.9665758268198108,0.4423619694992631,0.00936768149882904,0.009849663037843442,0.002932532011141722,19.0,1363.4
BASE,LOGREG,0.1,DOMAIN_OOD,0.02,3858,0.5,0.8913701860833619,0.006759737071066187,0.885701232531434,0.43784344219803006,0.06307884195133015,0.948267322277571,0.5970141168111387,0.01990632318501171,0.023639191290824264,0.0014478216737966777,45.6,1084.4
BASE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8823737537086807,0.007732055481709717,0.8754490422178234,0.23678532901833874,0.1115312121856513,0.9686859796855902,0.3700005302744661,0.00468384074941452,0.006903991370010787,0.002424186089993984,12.8,1415.0
BASE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,0.01,3708,0.5,0.8823737537086807,0.007732055481709717,0.8754490422178234,0.28662351672060404,0.10135545403992996,0.9658312485737891,0.4342415141094415,0.00936768149882904,0.009708737864077669,0.002750280212293843,18.0,1322.6
BASE,LOGREG,0.1,DOMAIN_TEMPLATE_OOD,0.02,3708,0.5,0.8823737537086807,0.007732055481709717,0.8754490422178234,0.4210355987055016,0.06041064685960458,0.9464205570105222,0.5807985241845872,0.01990632318501171,0.023624595469255664,0.001844944053558475,43.8,1073.4
BASE,LOGREG,0.1,IID_BALANCED,0.005,2116,0.5,0.9043203832549063,0.004728005220220526,0.8933001239989851,0.296219281663516,0.08229741111525074,0.9815454405142685,0.44949764029521405,0.00468384074941452,0.006238185255198488,0.004310682136480673,6.6,744.6
BASE,LOGREG,0.1,IID_BALANCED,0.01,2116,0.5,0.9043203832549063,0.004728005220220526,0.8933001239989851,0.35425330812854444,0.07821439585211654,0.9795950236898772,0.5158666775170981,0.00936768149882904,0.007750472589792059,0.004402954517524429,8.2,683.2
BASE,LOGREG,0.1,IID_BALANCED,0.02,2116,0.5,0.9043203832549063,0.004728005220220526,0.8933001239989851,0.4720226843100189,0.07186659775613558,0.9607912940981198,0.6304998786269117,0.01990632318501171,0.01890359168241966,0.0020050286801130833,20.0,558.6
BASE,LOGREG,0.1,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.8492621271716265,0.007277028504035554,0.8933443801888842,0.296219281663516,0.08229741111525074,0.9659021558265474,0.44766190146052426,0.00468384074941452,0.006021073758153537,0.004257542084414737,12.0,744.6
BASE,LOGREG,0.1,IID_ORIGINAL,0.01,3051,0.3467715503113733,0.8492621271716265,0.007277028504035554,0.8933443801888842,0.35425330812854444,0.07821439585211654,0.9592641159606273,0.5129919764149388,0.00936768149882904,0.008128449573507276,0.0033919606183954987,16.2,683.2
BASE,LOGREG,0.1,IID_ORIGINAL,0.02,3051,0.3467715503113733,0.8492621271716265,0.007277028504035554,0.8933443801888842,0.4720226843100189,0.07186659775613558,0.9282498513073028,0.6232742653431511,0.01990632318501171,0.01916708479678876,0.0020504582781437583,38.2,558.6
BASE,LOGREG,0.1,TEMPLATE_OOD,0.005,6832,0.5,0.9135861694684728,0.003981682047261954,0.9062889063177003,0.27453161592505854,0.12447346723120081,0.9805671279385194,0.41699550283462194,0.00468384074941452,0.005035128805620609,0.0020741205601777927,17.2,2478.2
BASE,LOGREG,0.1,TEMPLATE_OOD,0.01,6832,0.5,0.9135861694684728,0.003981682047261954,0.9062889063177003,0.33138173302107726,0.11072212641146328,0.9769929084277477,0.4864628981830414,0.00936768149882904,0.007494145199063232,0.002096721847713113,25.6,2284.0
BASE,LOGREG,0.1,TEMPLATE_OOD,0.02,6832,0.5,0.9135861694684728,0.003981682047261954,0.9062889063177003,0.47535128805620613,0.06585980970338634,0.9628161257704624,0.6343810872473707,0.01990632318501171,0.018208430913348946,0.001773434570358428,62.2,1792.2
BASE,LOGREG,0.1,TEMPORAL,0.005,8000,0.5,0.9184423060985731,0.004470983192591601,0.9111462999999999,0.28064999999999996,0.12051356251476429,0.9812849756274031,0.425257587907932,0.00468384074941452,0.0053,0.0026422055181230695,21.2,2877.4
BASE,LOGREG,0.1,TEMPORAL,0.01,8000,0.5,0.9184423060985731,0.004470983192591601,0.9111462999999999,0.3383,0.10653541077970273,0.9780408020685087,0.49488669013353803,0.00936768149882904,0.0076,0.0029293770668864056,30.4,2646.8
BASE,LOGREG,0.1,TEMPORAL,0.02,8000,0.5,0.9184423060985731,0.004470983192591601,0.9111462999999999,0.48600000000000004,0.06437997553587607,0.9638737014773519,0.6441860574049627,0.01990632318501171,0.01815,0.0018924190867775554,72.6,2056.0
BASE,LOGREG,0.25,DOMAIN_OOD,0.005,3858,0.5,0.9172233240515129,0.010082443950270385,0.9115982866085055,0.2401244167962675,0.07418730036251095,0.9870043471176768,0.3816894038974633,0.00468384074941452,0.0032141005702436497,0.0017732121696720654,6.2,1465.8
