set_family,scenario,source,n,benign,phish,prevalence_phish
PRIMARY,IID_ORIGINAL,iid,3051,1993,1058,0.3467715503113733
PRIMARY,IID_BALANCED,iid,2116,1058,1058,0.5
PRIMARY,TEMPORAL,holdout,8000,4000,4000,0.5
PRIMARY,DOMAIN_OOD,holdout,3858,1929,1929,0.5
PRIMARY,TEMPLATE_OOD,holdout,6832,3416,3416,0.5
PRIMARY,DOMAIN_TEMPLATE_OOD,holdout,3708,1854,1854,0.5
AP_EQUAL_N,IID_BALANCED,iid,2116,1058,1058,0.5
AP_EQUAL_N,TEMPORAL,holdout,2116,1058,1058,0.5
AP_EQUAL_N,DOMAIN_OOD,holdout,2116,1058,1058,0.5
AP_EQUAL_N,TEMPLATE_OOD,holdout,2116,1058,1058,0.5
AP_EQUAL_N,DOMAIN_TEMPLATE_OOD,holdout,2116,1058,1058,0.5
