representation,classifier,seed,label_budget,n_train,scenario,n_test,threshold,target_fpr,calibration_fpr,calibration_recall,fit_seconds,predict_seconds,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,base_ap,base_recall,base_f1,base_fpr,delta_ssl_ap,delta_ssl_recall,delta_ssl_f1,delta_ssl_fpr
DAPT,LOGREG,42,0.1,400,IID,3051,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.024720988000012767,0.8367207193567879,0.8843214957455062,0.9751552795031055,0.14839319470699433,0.2575881870385562,0.002007024586051179,157,4,1989,901,0.8524317978918843,0.2589792060491493,0.4104868913857677,0.0015052684395383,-0.015711078535096346,-0.11058601134215498,-0.15289870434721153,0.000501756146512879
DAPT,LOGREG,42,0.1,400,TEMPORAL,8000,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.061062970999955724,0.9151393528299777,0.9021093750000001,0.9899777282850779,0.22225,0.3630053082890976,0.00225,889,9,3991,3111,0.918040854089804,0.17375,0.295618885580604,0.00175,-0.0029015012598262446,0.048500000000000015,0.0673864227084936,0.0004999999999999998
DAPT,LOGREG,42,0.1,400,DOMAIN_OOD,3858,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.0254795880000529,0.8904571013486733,0.8825498025955638,0.9745454545454545,0.13893208916537067,0.24319419237749546,0.0036288232244686366,268,7,1922,1661,0.8895582305703407,0.1135303265940902,0.2034370645610775,0.0025920165889061,0.0008988707783326166,0.025401762571280476,0.039757127816417964,0.0010368066355625366
DAPT,LOGREG,42,0.1,400,TEMPLATE_OOD,6832,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.04770656499999859,0.9151737023189007,0.9035352988279429,0.9875346260387812,0.20872365339578455,0.34461092315128083,0.0026346604215456673,713,9,3407,2703,0.9166973883424776,0.1633489461358313,0.2804020100502513,0.0017564402810304,-0.0015236860235768868,0.04537470725995324,0.06420891310102955,0.0008782201405152673
DAPT,LOGREG,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9936045756149189,0.005,0.00468384074941452,0.17218543046357615,0.034703792999948746,0.022335515000008854,0.8782175371202539,0.8682826949864372,0.9711934156378601,0.1272923408845739,0.22508345255126372,0.0037756202804746495,236,7,1847,1618,0.8796824802823101,0.1067961165048543,0.1925133689839572,0.0026968716289104,-0.0014649431620562536,0.020496224379719596,0.03257008356730651,0.0010787486515642496
DAPT,XGBOOST,42,0.1,400,IID,3051,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.007118353000009847,0.8018627007784181,0.8636385193166631,0.9482071713147411,0.22495274102079396,0.36363636363636365,0.006522829904666332,238,13,1980,820,0.7946255207140211,0.10113421550094517,0.18197278911564627,0.0055193176116407425,0.0072371800643969975,0.12381852551984879,0.18166357452071738,0.0010035122930255897
DAPT,XGBOOST,42,0.1,400,TEMPORAL,8000,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.018126758999983394,0.891378540247235,0.8793841874999999,0.9919517102615694,0.2465,0.394873848618342,0.002,986,8,3992,3014,0.8975444058416377,0.17825,0.30160744500846026,0.00375,-0.006165865594402797,0.06825,0.09326640360988175,-0.0017499999999999998
DAPT,XGBOOST,42,0.1,400,DOMAIN_OOD,3858,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.008924575000037294,0.851344216428065,0.851068558502849,0.9750889679715302,0.14204250907205807,0.24796380090497738,0.0036288232244686366,274,7,1922,1655,0.8586989145683616,0.0782789009849663,0.14498319731156986,0.0015552099533437014,-0.007354698140296545,0.06376360808709176,0.10298060359340752,0.002073613271124935
DAPT,XGBOOST,42,0.1,400,TEMPLATE_OOD,6832,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.015166739000051166,0.8881451739096473,0.8766595172737195,0.9914738124238733,0.2382903981264637,0.3842341279206986,0.0020491803278688526,814,7,3409,2602,0.8943356991801402,0.18149882903981265,0.3067029433588919,0.0020491803278688526,-0.006190525270492908,0.056791569086651034,0.07753118456180669,0.0
DAPT,XGBOOST,42,0.1,400,DOMAIN_TEMPLATE_OOD,3708,0.9880515933036804,0.005,0.00468384074941452,0.20088300220750552,1.8330853199998955,0.008216345999926489,0.8351875191355482,0.8331451050761699,0.9715447154471545,0.12891046386192018,0.2276190476190476,0.0037756202804746495,239,7,1847,1615,0.8464937847397371,0.07335490830636461,0.1364776718514802,0.0016181229773462784,-0.011306265604188903,0.055555555555555566,0.09114137576756742,0.002157497303128371
