scenario,target_fpr,candidate_model,base_empirical_fpr_mean,candidate_empirical_fpr_mean,candidate_minus_base_fpr_mean,base_fn_mean,candidate_fn_mean,rescued_b0_fn_mean,regressed_b0_tp_mean,fn_rescue_rate_mean,fn_jaccard_mean,base_fp_mean,candidate_fp_mean,new_fp_vs_b0_mean,avoided_b0_fp_mean,fp_jaccard_mean
DOMAIN_OOD,0.005,BASE_EMB_MLP,0.005495075168481078,0.006220839813374806,0.0007257646448937277,1130.2,1443.2,199.0,512.0,0.175087780167912,0.5665288617705421,10.6,12.0,11.4,10.0,0.03343137254901961
DOMAIN_OOD,0.005,CONTRASTIVE_EMB_MLP,0.005495075168481078,0.0066355624675997925,0.0011404872991187145,1130.2,1625.8,139.0,634.6,0.12611303451837674,0.5606606696180482,10.6,12.8,12.8,10.6,0.0
DOMAIN_OOD,0.005,DAPT_E2E,0.005495075168481078,0.0034214618973561427,-0.0020736132711249356,1130.2,1046.4,369.4,285.6,0.32783083198187385,0.5362090747757288,10.6,6.6,5.4,9.4,0.06102941176470589
DOMAIN_OOD,0.005,DAPT_EMB_MLP,0.005495075168481078,0.004561949196474858,-0.0009331259720062209,1130.2,1443.8,178.6,492.2,0.1562448378879558,0.5870298355814288,10.6,8.8,8.4,10.2,0.021764705882352943
DOMAIN_OOD,0.005,T0_E2E,0.005495075168481078,0.0033177812337998962,-0.002177293934681182,1130.2,1144.0,317.6,331.4,0.28203528747976747,0.552601415388472,10.6,6.4,5.2,9.4,0.07258658008658009
DOMAIN_OOD,0.01,BASE_EMB_MLP,0.009123898392949715,0.014204250907205807,0.005080352514256092,993.8,1189.8,277.6,473.6,0.28054758049820777,0.48747152810882877,17.6,27.4,25.8,16.0,0.03135442773600668
DOMAIN_OOD,0.01,CONTRASTIVE_EMB_MLP,0.009123898392949715,0.010057024364955935,0.0009331259720062213,993.8,1512.6,172.0,690.8,0.17329234964315243,0.487756474145644,17.6,19.4,19.2,17.4,0.004347826086956522
DOMAIN_OOD,0.01,DAPT_E2E,0.009123898392949715,0.008605495075168482,-0.0005184033177812334,993.8,780.4,413.2,199.8,0.41551843218801077,0.4861537604261816,17.6,16.6,14.0,15.0,0.06175690435325324
DOMAIN_OOD,0.01,DAPT_EMB_MLP,0.009123898392949715,0.009227579056505963,0.00010368066355624701,993.8,1243.0,227.8,477.0,0.23042977639898968,0.5202544262661265,17.6,17.8,16.0,15.8,0.04998680111926509
DOMAIN_OOD,0.01,T0_E2E,0.009123898392949715,0.008501814411612234,-0.0006220839813374804,993.8,885.2,368.6,260.0,0.3682300968791134,0.49922744495960797,17.6,16.4,13.4,14.6,0.08791537785924314
DOMAIN_OOD,0.02,BASE_EMB_MLP,0.02436495593571799,0.026853291861067906,0.0024883359253499216,771.0,958.8,261.6,449.4,0.3395205067324481,0.417621689510268,47.0,51.8,44.8,40.0,0.07432630881133767
DOMAIN_OOD,0.02,CONTRASTIVE_EMB_MLP,0.02436495593571799,0.020217729393468116,-0.00414722654224987,771.0,1326.4,173.8,729.2,0.2247609218821533,0.3980093438599194,47.0,39.0,35.4,43.4,0.04309594006893332
DOMAIN_OOD,0.02,DAPT_E2E,0.02436495593571799,0.01835147744945568,-0.006013478486262312,771.0,541.8,371.0,141.8,0.4816114879602337,0.43751738958631226,47.0,35.4,27.0,38.6,0.10966353909600582
DOMAIN_OOD,0.02,DAPT_EMB_MLP,0.02436495593571799,0.020425090720580612,-0.0039398652151373765,771.0,1023.6,213.8,466.4,0.27587638954226845,0.45043898679935984,47.0,39.4,34.6,42.2,0.05787510995844329
DOMAIN_OOD,0.02,T0_E2E,0.02436495593571799,0.02146189735614308,-0.002903058579574908,771.0,605.0,342.4,176.4,0.44495034440869335,0.451228448737438,47.0,41.4,32.2,37.8,0.11443685084366191
DOMAIN_TEMPLATE_OOD,0.005,BASE_EMB_MLP,0.005393743257820928,0.006364617044228695,0.000970873786407767,1147.6,1417.4,192.4,462.2,0.1669280292670441,0.5930204805076456,10.0,11.8,11.2,9.4,0.03511904761904762
DOMAIN_TEMPLATE_OOD,0.005,CONTRASTIVE_EMB_MLP,0.005393743257820928,0.006580366774541532,0.0011866235167206042,1147.6,1566.4,147.0,565.8,0.131244873950891,0.582999954001099,10.0,12.2,12.2,10.0,0.0
DOMAIN_TEMPLATE_OOD,0.005,DAPT_E2E,0.005393743257820928,0.003344120819848975,-0.0020496224379719526,1147.6,1032.4,367.0,251.8,0.32156778693643806,0.5562791003314944,10.0,6.2,5.2,9.0,0.0606547619047619
DOMAIN_TEMPLATE_OOD,0.005,DAPT_EMB_MLP,0.005393743257820928,0.004746494066882417,-0.0006472491909385116,1147.6,1415.6,173.6,441.6,0.14970624651640665,0.6135345101716739,10.0,8.8,8.4,9.6,0.022291021671826623
DOMAIN_TEMPLATE_OOD,0.005,T0_E2E,0.005393743257820928,0.0032362459546925572,-0.002157497303128371,1147.6,1126.8,321.2,300.4,0.28143574498959156,0.5678546852149984,10.0,6.0,4.8,8.8,0.0781287677839402
DOMAIN_TEMPLATE_OOD,0.01,BASE_EMB_MLP,0.00895361380798274,0.01413160733549083,0.00517799352750809,1018.0,1182.2,271.8,436.0,0.26748868164802914,0.5126489442071717,16.6,26.2,24.6,15.0,0.033038801513377784
DOMAIN_TEMPLATE_OOD,0.01,CONTRASTIVE_EMB_MLP,0.00895361380798274,0.009600862998921251,0.0006472491909385118,1018.0,1456.2,179.2,617.4,0.17683255362805345,0.5127727748046272,16.6,17.8,17.8,16.6,0.0
