model,label_budget,scenario,target_fpr,recall_mean,recall_std,precision_mean,f1_mean,empirical_fpr_mean,empirical_fpr_std,roc_auc_mean,fit_seconds_mean
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.005,0.35909797822706063,0.04794914655417982,0.9817626163820385,0.5242431853662429,0.0066355624675997925,0.002453532310253858,0.9069495068718674,0.13364387009933126
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.01,0.4520476931052359,0.05315144046262775,0.9676772121087336,0.6145602038844503,0.01503369621565578,0.003214286372513958,0.9069495068718674,0.13364387009933126
B0_STRUCT_XGB,0.1,DOMAIN_OOD,0.02,0.5484707102125453,0.043888079177082075,0.9469568171272582,0.6936488277422813,0.030793157076205287,0.006269608960433287,0.9069495068718674,0.13364387009933126
B0_STRUCT_XGB,0.1,DOMAIN_TEMPLATE_OOD,0.005,0.33176914778856526,0.04913503076713223,0.9805259552067931,0.4939967812443885,0.006526429341963323,0.002118947215905946,0.9003755691941038,0.13364387009933126
B0_STRUCT_XGB,0.1,DOMAIN_TEMPLATE_OOD,0.01,0.4253505933117584,0.055902245154974675,0.9662177318338312,0.5886922539850482,0.01483279395900755,0.0034231270702372828,0.9003755691941038,0.13364387009933126
B0_STRUCT_XGB,0.1,DOMAIN_TEMPLATE_OOD,0.02,0.521413160733549,0.04822169368026777,0.9445723428961701,0.6706468919580273,0.03074433656957929,0.0071148360076984446,0.9003755691941038,0.13364387009933126
B0_STRUCT_XGB,0.1,TEMPLATE_OOD,0.005,0.4415690866510539,0.04855548631759937,0.9869104466763634,0.6087468037992575,0.00585480093676815,0.001761853052816919,0.9310181903317629,0.13364387009933126
B0_STRUCT_XGB,0.1,TEMPLATE_OOD,0.01,0.52903981264637,0.050310007647150816,0.9774708281211201,0.6852044291336759,0.012207259953161593,0.0021291682138136043,0.9310181903317629,0.13364387009933126
B0_STRUCT_XGB,0.1,TEMPLATE_OOD,0.02,0.6186475409836065,0.043137000507168476,0.9631356991813671,0.7525198589474934,0.02379976580796253,0.004714336871207923,0.9310181903317629,0.13364387009933126
B0_STRUCT_XGB,0.1,TEMPORAL,0.005,0.4572,0.0456607052069939,0.9886790019516694,0.624051898375465,0.0052499999999999995,0.0018633899812498251,0.9353132937499999,0.13364387009933126
B0_STRUCT_XGB,0.1,TEMPORAL,0.01,0.544925,0.044767927817926864,0.9801120011356573,0.6994371932154588,0.01105,0.0017110750356947463,0.9353132937499999,0.13364387009933126
B0_STRUCT_XGB,0.1,TEMPORAL,0.02,0.6347,0.03879339863659512,0.9671223807341018,0.7657563498944112,0.02165,0.003930295437015164,0.9353132937499999,0.13364387009933126
B0_STRUCT_XGB,0.25,DOMAIN_OOD,0.005,0.42877138413685845,0.050103650120154344,0.9891254515388631,0.5965896038201084,0.004872991187143598,0.0031123393267446144,0.9223829702494545,0.19026824080028745
B0_STRUCT_XGB,0.25,DOMAIN_OOD,0.01,0.5068947641264904,0.038371029340156085,0.9802470133671777,0.6673556548002109,0.0104199066874028,0.004607345436237629,0.9223829702494545,0.19026824080028745
B0_STRUCT_XGB,0.25,DOMAIN_OOD,0.02,0.6138413685847589,0.020146637795750443,0.9599874441747984,0.7486475211437001,0.025660964230171075,0.005881587152278385,0.9223829702494545,0.19026824080028745
B0_STRUCT_XGB,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.3964940668824164,0.051074347020593804,0.9882961884272083,0.5641405744690673,0.0048543689320388345,0.003124442142571515,0.9166610227281984,0.19026824080028745
B0_STRUCT_XGB,0.25,DOMAIN_TEMPLATE_OOD,0.01,0.4761057173678533,0.04202895594952281,0.9793866675701542,0.639627475787256,0.010248112189859762,0.004674577490111471,0.9166610227281984,0.19026824080028745
B0_STRUCT_XGB,0.25,DOMAIN_TEMPLATE_OOD,0.02,0.5928263214670981,0.023748060759082347,0.9596553733286189,0.7326110095910632,0.025026968716289105,0.006423362223188528,0.9166610227281984,0.19026824080028745
B0_STRUCT_XGB,0.25,TEMPLATE_OOD,0.005,0.502400468384075,0.0507141657011637,0.9905530453051897,0.665246390396471,0.004888758782201405,0.00222109778701614,0.9415496720557345,0.19026824080028745
B0_STRUCT_XGB,0.25,TEMPLATE_OOD,0.01,0.5762002341920375,0.03977054272505142,0.9844363458144076,0.7261393827341425,0.009221311475409836,0.002947659536883922,0.9415496720557345,0.19026824080028745
