strategy,seed,from_budget,to_budget,candidate_pool_n,selected_n,selected_benign,selected_phish,selected_phish_share,mean_abs_distance_to_0p5
RANDOM_GLOBAL,42,0.1,0.15,3600,200,106,94,0.47,
RANDOM_GLOBAL,42,0.15,0.2,3400,200,102,98,0.49,
RANDOM_GLOBAL,42,0.2,0.25,3200,200,93,107,0.535,
UNCERTAINTY_GLOBAL,42,0.1,0.15,3600,200,84,116,0.58,0.3366953330580145
UNCERTAINTY_GLOBAL,42,0.15,0.2,3400,200,91,109,0.545,0.45585669422522185
UNCERTAINTY_GLOBAL,42,0.2,0.25,3200,200,134,66,0.33,0.4906959203630686
UNCERTAINTY_POST_CASCADE,42,0.1,0.15,2286,200,111,89,0.445,0.37505202857777475
UNCERTAINTY_POST_CASCADE,42,0.15,0.2,2465,200,40,160,0.8,0.4510526236519217
UNCERTAINTY_POST_CASCADE,42,0.2,0.25,2079,200,184,16,0.08,0.4813190408016089
RANDOM_GLOBAL,52,0.1,0.15,3600,200,103,97,0.485,
RANDOM_GLOBAL,52,0.15,0.2,3400,200,108,92,0.46,
RANDOM_GLOBAL,52,0.2,0.25,3200,200,105,95,0.475,
UNCERTAINTY_GLOBAL,52,0.1,0.15,3600,200,81,119,0.595,0.3796863777562976
UNCERTAINTY_GLOBAL,52,0.15,0.2,3400,200,102,98,0.49,0.45618573078652846
UNCERTAINTY_GLOBAL,52,0.2,0.25,3200,200,111,89,0.445,0.48998029846465213
UNCERTAINTY_POST_CASCADE,52,0.1,0.15,2613,200,98,102,0.51,0.3998423830792308
UNCERTAINTY_POST_CASCADE,52,0.15,0.2,2046,200,133,67,0.335,0.4660961986600887
UNCERTAINTY_POST_CASCADE,52,0.2,0.25,1880,200,148,52,0.26,0.4950177851691842
RANDOM_GLOBAL,62,0.1,0.15,3600,200,94,106,0.53,
RANDOM_GLOBAL,62,0.15,0.2,3400,200,102,98,0.49,
RANDOM_GLOBAL,62,0.2,0.25,3200,200,103,97,0.485,
UNCERTAINTY_GLOBAL,62,0.1,0.15,3600,200,115,85,0.425,0.3787310425797477
UNCERTAINTY_GLOBAL,62,0.15,0.2,3400,200,79,121,0.605,0.45019140640972183
UNCERTAINTY_GLOBAL,62,0.2,0.25,3200,200,124,76,0.38,0.4912296430877177
UNCERTAINTY_POST_CASCADE,62,0.1,0.15,2586,200,121,79,0.395,0.39143852023407816
UNCERTAINTY_POST_CASCADE,62,0.15,0.2,2178,200,126,74,0.37,0.46582413239288145
UNCERTAINTY_POST_CASCADE,62,0.2,0.25,1857,200,146,54,0.27,0.4920505656878231
RANDOM_GLOBAL,72,0.1,0.15,3600,200,103,97,0.485,
RANDOM_GLOBAL,72,0.15,0.2,3400,200,89,111,0.555,
RANDOM_GLOBAL,72,0.2,0.25,3200,200,95,105,0.525,
UNCERTAINTY_GLOBAL,72,0.1,0.15,3600,200,106,94,0.47,0.3910586022492498
UNCERTAINTY_GLOBAL,72,0.15,0.2,3400,200,63,137,0.685,0.4455679743702058
UNCERTAINTY_GLOBAL,72,0.2,0.25,3200,200,175,25,0.125,0.48495456428499895
UNCERTAINTY_POST_CASCADE,72,0.1,0.15,2792,200,108,92,0.46,0.4024453177722171
UNCERTAINTY_POST_CASCADE,72,0.15,0.2,2244,200,134,66,0.33,0.46160185658023695
UNCERTAINTY_POST_CASCADE,72,0.2,0.25,1835,200,87,113,0.565,0.49213252909947186
RANDOM_GLOBAL,82,0.1,0.15,3600,200,111,89,0.445,
RANDOM_GLOBAL,82,0.15,0.2,3400,200,107,93,0.465,
RANDOM_GLOBAL,82,0.2,0.25,3200,200,100,100,0.5,
UNCERTAINTY_GLOBAL,82,0.1,0.15,3600,200,58,142,0.71,0.35719331287778916
UNCERTAINTY_GLOBAL,82,0.15,0.2,3400,200,126,74,0.37,0.45382190730888394
UNCERTAINTY_GLOBAL,82,0.2,0.25,3200,200,159,41,0.205,0.48903087819810026
UNCERTAINTY_POST_CASCADE,82,0.1,0.15,2274,200,89,111,0.555,0.4012101766699925
UNCERTAINTY_POST_CASCADE,82,0.15,0.2,2041,200,144,56,0.28,0.47224854298285207
UNCERTAINTY_POST_CASCADE,82,0.2,0.25,1857,200,174,26,0.13,0.4932244996028021
RANDOM_GLOBAL,242,0.1,0.15,3600,200,103,97,0.485,
RANDOM_GLOBAL,242,0.15,0.2,3400,200,107,93,0.465,
RANDOM_GLOBAL,242,0.2,0.25,3200,200,100,100,0.5,
UNCERTAINTY_GLOBAL,242,0.1,0.15,3600,200,89,111,0.555,0.3287521818000823
UNCERTAINTY_GLOBAL,242,0.15,0.2,3400,200,91,109,0.545,0.4320349053828977
UNCERTAINTY_GLOBAL,242,0.2,0.25,3200,200,93,107,0.535,0.4938363609235967
UNCERTAINTY_POST_CASCADE,242,0.1,0.15,2559,200,108,92,0.46,0.3564109011553228
UNCERTAINTY_POST_CASCADE,242,0.15,0.2,2165,200,134,66,0.33,0.4429281066125259
UNCERTAINTY_POST_CASCADE,242,0.2,0.25,1993,200,56,144,0.72,0.49199418124917427
RANDOM_GLOBAL,252,0.1,0.15,3600,200,109,91,0.455,
RANDOM_GLOBAL,252,0.15,0.2,3400,200,95,105,0.525,
RANDOM_GLOBAL,252,0.2,0.25,3200,200,112,88,0.44,
UNCERTAINTY_GLOBAL,252,0.1,0.15,3600,200,104,96,0.48,0.30743500307202337
UNCERTAINTY_GLOBAL,252,0.15,0.2,3400,200,73,127,0.635,0.44210445329546927
UNCERTAINTY_GLOBAL,252,0.2,0.25,3200,200,66,134,0.67,0.48346745638118593
UNCERTAINTY_POST_CASCADE,252,0.1,0.15,2511,200,112,88,0.44,0.3267434296756983
UNCERTAINTY_POST_CASCADE,252,0.15,0.2,2088,200,109,91,0.455,0.462105903213378
UNCERTAINTY_POST_CASCADE,252,0.2,0.25,1811,200,143,57,0.285,0.48917362873558884
RANDOM_GLOBAL,262,0.1,0.15,3600,200,105,95,0.475,
RANDOM_GLOBAL,262,0.15,0.2,3400,200,95,105,0.525,
RANDOM_GLOBAL,262,0.2,0.25,3200,200,101,99,0.495,
UNCERTAINTY_GLOBAL,262,0.1,0.15,3600,200,101,99,0.495,0.382133655725047
UNCERTAINTY_GLOBAL,262,0.15,0.2,3400,200,37,163,0.815,0.4367516019730829
UNCERTAINTY_GLOBAL,262,0.2,0.25,3200,200,164,36,0.18,0.4769860297383275
UNCERTAINTY_POST_CASCADE,262,0.1,0.15,2478,200,113,87,0.435,0.40870742675848304
UNCERTAINTY_POST_CASCADE,262,0.15,0.2,2078,200,146,54,0.27,0.47613647348596716
UNCERTAINTY_POST_CASCADE,262,0.2,0.25,1937,200,155,45,0.225,0.4927802452095784
RANDOM_GLOBAL,272,0.1,0.15,3600,200,102,98,0.49,
RANDOM_GLOBAL,272,0.15,0.2,3400,200,89,111,0.555,
RANDOM_GLOBAL,272,0.2,0.25,3200,200,98,102,0.51,
UNCERTAINTY_GLOBAL,272,0.1,0.15,3600,200,95,105,0.525,0.33411426617763934
UNCERTAINTY_GLOBAL,272,0.15,0.2,3400,200,156,44,0.22,0.4574504958861507
UNCERTAINTY_GLOBAL,272,0.2,0.25,3200,200,13,187,0.935,0.4806124562676996
UNCERTAINTY_POST_CASCADE,272,0.1,0.15,2667,200,111,89,0.445,0.3563241108041257
UNCERTAINTY_POST_CASCADE,272,0.15,0.2,2118,200,149,51,0.255,0.4679575168841984
UNCERTAINTY_POST_CASCADE,272,0.2,0.25,1835,200,15,185,0.925,0.4922237957839388
RANDOM_GLOBAL,282,0.1,0.15,3600,200,105,95,0.475,
RANDOM_GLOBAL,282,0.15,0.2,3400,200,102,98,0.49,
RANDOM_GLOBAL,282,0.2,0.25,3200,200,98,102,0.51,
UNCERTAINTY_GLOBAL,282,0.1,0.15,3600,200,89,111,0.555,0.44846964176511395
UNCERTAINTY_GLOBAL,282,0.15,0.2,3400,200,132,68,0.34,0.4443667714879848
UNCERTAINTY_GLOBAL,282,0.2,0.25,3200,200,87,113,0.565,0.49167902728542684
UNCERTAINTY_POST_CASCADE,282,0.1,0.15,2745,200,98,102,0.51,0.46071936744265257
UNCERTAINTY_POST_CASCADE,282,0.15,0.2,2031,200,159,41,0.205,0.45995866604731417
UNCERTAINTY_POST_CASCADE,282,0.2,0.25,1956,200,30,170,0.85,0.4877231927390676
