model,scenario,target_fpr,n_test,prevalence_phish,average_precision_mean,average_precision_std,roc_auc_mean,recall_mean,recall_std,precision_mean,f1_mean,calibration_empirical_fpr_mean,empirical_fpr_mean,empirical_fpr_std,fp_mean,fn_mean
B0_STRUCT_XGB,DOMAIN_OOD,0.005,3858,0.5,0.92995072776455,0.005201252399451293,0.922002310643715,0.41410057024364955,0.05286366837650118,0.9875496083341488,0.5817972722574802,0.00468384074941452,0.005495075168481078,0.004236975996205817,10.6,1130.2
B0_STRUCT_XGB,DOMAIN_OOD,0.01,3858,0.5,0.92995072776455,0.005201252399451293,0.922002310643715,0.48481078278900985,0.029891244989510707,0.9819936800497888,0.6485806799197312,0.00936768149882904,0.009123898392949715,0.005281611457522043,17.6,993.8
B0_STRUCT_XGB,DOMAIN_OOD,0.02,3858,0.5,0.92995072776455,0.005201252399451293,0.922002310643715,0.6003110419906688,0.01258663612460237,0.9610262210680874,0.7389352339184727,0.01990632318501171,0.02436495593571799,0.004259117865514511,47.0,771.0
B0_STRUCT_XGB,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.9242249537609165,0.005966857143011912,0.9163073747074753,0.38101402373247034,0.051371829812750416,0.9867524000028661,0.5480123005466184,0.00468384074941452,0.005393743257820928,0.004298106108551572,10.0,1147.6
B0_STRUCT_XGB,DOMAIN_TEMPLATE_OOD,0.01,3708,0.5,0.9242249537609165,0.005966857143011912,0.9163073747074753,0.45091693635382957,0.032373694561861135,0.981079142035884,0.6171767548481786,0.00936768149882904,0.00895361380798274,0.005181924972804941,16.6,1018.0
B0_STRUCT_XGB,DOMAIN_TEMPLATE_OOD,0.02,3708,0.5,0.9242249537609165,0.005966857143011912,0.9163073747074753,0.5773462783171521,0.017367518271843043,0.9607381723398332,0.7211290243668325,0.01990632318501171,0.023624595469255664,0.004784952560133091,43.8,783.6
B0_STRUCT_XGB,TEMPLATE_OOD,0.005,6832,0.5,0.9486982330473575,0.0037995154076536242,0.9414636111095878,0.48963700234192037,0.057450784242358534,0.9899005632426459,0.6535108566479474,0.00468384074941452,0.005152224824355972,0.003074467412907757,17.6,1743.4
B0_STRUCT_XGB,TEMPLATE_OOD,0.01,6832,0.5,0.9486982330473575,0.0037995154076536242,0.9414636111095878,0.5543325526932084,0.033015185623852666,0.9859839166917667,0.7091413791707112,0.00936768149882904,0.008021077283372365,0.003405109139015304,27.4,1522.4
B0_STRUCT_XGB,TEMPLATE_OOD,0.02,6832,0.5,0.9486982330473575,0.0037995154076536242,0.9414636111095878,0.6616510538641686,0.01756611037757499,0.9730794172551755,0.7875845202485655,0.01990632318501171,0.018325526932084307,0.002687793660688064,62.6,1155.8
B0_STRUCT_XGB,TEMPORAL,0.005,8000,0.5,0.9526916349693753,0.0040603321637809235,0.9451013749999999,0.5103,0.05629759097865556,0.9913055419945165,0.6722237173086867,0.00468384074941452,0.0046,0.0026551836094703507,18.4,1958.8
B0_STRUCT_XGB,TEMPORAL,0.01,8000,0.5,0.9526916349693753,0.0040603321637809235,0.9451013749999999,0.57435,0.031420833057065826,0.9876625518231616,0.7258550740883729,0.00936768149882904,0.007300000000000001,0.003218112801006205,29.2,1702.6
B0_STRUCT_XGB,TEMPORAL,0.02,8000,0.5,0.9526916349693753,0.0040603321637809235,0.9451013749999999,0.6769499999999999,0.015113528707750533,0.975374063556794,0.7991325952287367,0.01990632318501171,0.017099999999999997,0.001842213342694054,68.4,1292.2
BASE_EMB_MLP,DOMAIN_OOD,0.005,3858,0.5,0.9020449490067406,0.012783584137402383,0.8962696460479741,0.25184033177812337,0.04557735223247816,0.9758338549396651,0.39863245906561534,0.00468384074941452,0.006220839813374806,0.0023183701166405286,12.0,1443.2
BASE_EMB_MLP,DOMAIN_OOD,0.01,3858,0.5,0.9020449490067406,0.012783584137402383,0.8962696460479741,0.38320373250388806,0.08558162093761246,0.964855491310353,0.5439039057708348,0.00936768149882904,0.014204250907205807,0.006553241303498387,27.4,1189.8
BASE_EMB_MLP,DOMAIN_OOD,0.02,3858,0.5,0.9020449490067406,0.012783584137402383,0.8962696460479741,0.502954898911353,0.05702601439718256,0.9493334922975322,0.6559959546394456,0.01990632318501171,0.026853291861067906,0.004389624288235675,51.8,958.8
BASE_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8934021804234842,0.01342371901396077,0.8874310944934944,0.23549083063646173,0.044121017663076655,0.9735974373665929,0.3775698099989792,0.00468384074941452,0.006364617044228695,0.002332443183434698,11.8,1417.4
BASE_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.01,3708,0.5,0.8934021804234842,0.01342371901396077,0.8874310944934944,0.36235167206040997,0.08664087840080706,0.9626977067485815,0.5215904154284587,0.00936768149882904,0.01413160733549083,0.006142713474652831,26.2,1182.2
BASE_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.02,3708,0.5,0.8934021804234842,0.01342371901396077,0.8874310944934944,0.4766990291262136,0.05196697385969802,0.9474827714322223,0.6329241883855703,0.01990632318501171,0.026429341963322545,0.004264128452222734,49.0,970.2
BASE_EMB_MLP,TEMPLATE_OOD,0.005,6832,0.5,0.9254155200882155,0.009104147384468032,0.9186767635702493,0.3334894613583138,0.049429050717684185,0.9842728352094268,0.49650536240359716,0.00468384074941452,0.0052693208430913355,0.0006209954167329163,18.0,2276.8
BASE_EMB_MLP,TEMPLATE_OOD,0.01,6832,0.5,0.9254155200882155,0.009104147384468032,0.9186767635702493,0.4529274004683841,0.0665423304464757,0.9758040079974893,0.6162606929345362,0.00936768149882904,0.011416861826697893,0.004297399957817095,39.0,1868.8
BASE_EMB_MLP,TEMPLATE_OOD,0.02,6832,0.5,0.9254155200882155,0.009104147384468032,0.9186767635702493,0.559543325526932,0.04346110267424671,0.9634006268326469,0.7070963607944579,0.01990632318501171,0.021311475409836068,0.002900934225254683,72.8,1504.6
BASE_EMB_MLP,TEMPORAL,0.005,8000,0.5,0.9301436310549281,0.00895177120113568,0.9241305562500001,0.3438,0.045666043183091774,0.985044668242851,0.5083248158722035,0.00468384074941452,0.00515,0.0004541475531146239,20.6,2624.8
BASE_EMB_MLP,TEMPORAL,0.01,8000,0.5,0.9301436310549281,0.00895177120113568,0.9241305562500001,0.46609999999999996,0.06928509940817,0.9769176305865204,0.6284982913198147,0.00936768149882904,0.0113,0.004754603032851429,45.2,2135.6
BASE_EMB_MLP,TEMPORAL,0.02,8000,0.5,0.9301436310549281,0.00895177120113568,0.9241305562500001,0.577,0.044978119680573574,0.9644192124665623,0.7211332669840194,0.01990632318501171,0.0214,0.0036597472590330607,85.6,1692.0
CONTRASTIVE_EMB_MLP,DOMAIN_OOD,0.005,3858,0.5,0.8417031697244466,0.011454566511491706,0.8327008759108002,0.15717988595127008,0.05371468941716424,0.9552805841421671,0.26700367130411423,0.00468384074941452,0.0066355624675997925,0.0013910220699843174,12.8,1625.8
CONTRASTIVE_EMB_MLP,DOMAIN_OOD,0.01,3858,0.5,0.8417031697244466,0.011454566511491706,0.8327008759108002,0.21586314152410577,0.02804796706123309,0.9551809907863626,0.351470094054992,0.00936768149882904,0.010057024364955935,0.0031872319645286466,19.4,1512.6
CONTRASTIVE_EMB_MLP,DOMAIN_OOD,0.02,3858,0.5,0.8417031697244466,0.011454566511491706,0.8327008759108002,0.3123898392949715,0.03634669067525273,0.939003779748154,0.4679073102812457,0.01990632318501171,0.020217729393468116,0.002617808433997429,39.0,1326.4
CONTRASTIVE_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8348395159373648,0.01175728190052365,0.8238870095155638,0.1551240560949299,0.05823069833267238,0.9536056500223495,0.2633748052858512,0.00468384074941452,0.006580366774541532,0.0015909256961976939,12.2,1566.4
CONTRASTIVE_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.01,3708,0.5,0.8348395159373648,0.01175728190052365,0.8238870095155638,0.2145631067961165,0.029961746170485068,0.9562260007883847,0.3497559571106298,0.00936768149882904,0.009600862998921251,0.0029394663632014485,17.8,1456.2
CONTRASTIVE_EMB_MLP,DOMAIN_TEMPLATE_OOD,0.02,3708,0.5,0.8348395159373648,0.01175728190052365,0.8238870095155638,0.3028047464940669,0.037231677853049344,0.940701062000177,0.4571719211005993,0.01990632318501171,0.018985976267529667,0.0026533708470871296,35.2,1292.6
CONTRASTIVE_EMB_MLP,TEMPLATE_OOD,0.005,6832,0.5,0.8761059970441176,0.00917836603478034,0.8627040096473957,0.22827868852459016,0.07673179569599216,0.9749077769428254,0.3645741469476942,0.00468384074941452,0.0055620608899297425,0.0013885879655306118,19.0,2636.2
CONTRASTIVE_EMB_MLP,TEMPLATE_OOD,0.01,6832,0.5,0.8761059970441176,0.00917836603478034,0.8627040096473957,0.30023419203747076,0.03261300181507946,0.9722955314015355,0.458039774828028,0.00936768149882904,0.008489461358313816,0.0016943555185582884,29.0,2390.4
CONTRASTIVE_EMB_MLP,TEMPLATE_OOD,0.02,6832,0.5,0.8761059970441176,0.00917836603478034,0.8627040096473957,0.3939110070257611,0.03558965373054016,0.9577222040029577,0.5574686909977865,0.01990632318501171,0.017388758782201405,0.001858380591112867,59.4,2070.4
CONTRASTIVE_EMB_MLP,TEMPORAL,0.005,8000,0.5,0.8752912858915476,0.010183366062596351,0.86255129375,0.2251,0.07303051588206123,0.973396268754143,0.360751895070786,0.00468384074941452,0.0059499999999999996,0.0014832396974191326,23.8,3099.6
CONTRASTIVE_EMB_MLP,TEMPORAL,0.01,8000,0.5,0.8752912858915476,0.010183366062596351,0.86255129375,0.30095,0.028968948893599827,0.9682923662541245,0.4585996877479036,0.00936768149882904,0.0098,0.0016900443781155566,39.2,2796.2
CONTRASTIVE_EMB_MLP,TEMPORAL,0.02,8000,0.5,0.8752912858915476,0.010183366062596351,0.86255129375,0.39985,0.03571528034329283,0.9523925035382023,0.5625111537119377,0.01990632318501171,0.019950000000000002,0.0022248595461286974,79.8,2400.6
DAPT_E2E,DOMAIN_OOD,0.005,3858,0.5,0.9615192462209716,0.005138228236093508,0.9546363235449435,0.45557283566614826,0.08066662129811812,0.992715587498329,0.621140823191395,0.00468384074941452,0.0034214618973561427,0.0020929631143790928,6.6,1050.2
DAPT_E2E,DOMAIN_OOD,0.01,3858,0.5,0.9615192462209716,0.005138228236093508,0.9546363235449435,0.5952306894764126,0.07681155911651706,0.9861636191669108,0.7399336800274174,0.00936768149882904,0.008605495075168482,0.003749027419754182,16.6,780.8
DAPT_E2E,DOMAIN_OOD,0.02,3858,0.5,0.9615192462209716,0.005138228236093508,0.9546363235449435,0.7191290824261276,0.04556555791959351,0.9753291613104279,0.8271281340674935,0.01990632318501171,0.01835147744945568,0.0049125382023772445,35.4,541.8
DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.9581223130528065,0.0053952919802935755,0.9498519775313063,0.44110032362459545,0.07611907631778071,0.9926403575149803,0.6076877182922151,0.00468384074941452,0.003344120819848975,0.001764339507421373,6.2,1036.2
DAPT_E2E,DOMAIN_TEMPLATE_OOD,0.01,3708,0.5,0.9581223130528065,0.0053952919802935755,0.9498519775313063,0.5737864077669903,0.08023943199187362,0.9863314440345835,0.7227606151561254,0.00936768149882904,0.008198489751887809,0.0034830386819769024,15.2,790.2
