contrast,scenario,metric,label_budget,target_fpr,review_fraction,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPORAL,dapt_recall,0.25,0.005,0.2,10,0.18977500000000003,0.0691970264695111,0.14027442924117728,0.23927557075882278,0.001953125,2.742531141618011,10,0,0
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPORAL,dapt_empirical_fpr,0.25,0.005,0.2,10,0.0012000000000000001,0.0017787323825941015,-7.242849379378454e-05,0.002472428493793785,0.0703125,0.6746377430032062,6,2,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPORAL,assisted_recall,0.25,0.005,0.2,10,0.07555000000000003,0.0659188052750419,0.02839452741199819,0.12270547258800188,0.0078125,1.1461069369320727,8,0,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPORAL,review_precision,0.25,0.005,0.2,10,-0.025115670345805953,0.054950783030589444,-0.064425092476205,0.01419375178459309,0.189453125,-0.4570575515152317,3,0,7
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,TEMPORAL,capture_rate_of_stage1_fn,0.25,0.005,0.2,10,0.10481648614865957,0.07881144418584131,0.04843817527940338,0.16119479701791575,0.005859375,1.329965301758677,9,0,1
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_OOD,dapt_recall,0.25,0.005,0.2,10,0.25272161741835153,0.08953707270706479,0.18867065411537262,0.3167725807213304,0.001953125,2.822536071121866,10,0,0
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_OOD,dapt_empirical_fpr,0.25,0.005,0.2,10,0.0011923276308968378,0.0022931169030632292,-0.00044806938194803824,0.0028327246437417136,0.1328125,0.5199593746415994,6,2,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_OOD,assisted_recall,0.25,0.005,0.2,10,0.09606013478486262,0.0844826179723067,0.035624910582398375,0.15649535898732686,0.0078125,1.1370402230711059,8,0,2
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_OOD,review_precision,0.25,0.005,0.2,10,0.0025328956004339485,0.0392922050445375,-0.025575054629685845,0.030640845830553744,0.84765625,0.06446305565093445,5,0,5
UNCERTAINTY_POST_CASCADE_minus_RANDOM_GLOBAL,DOMAIN_OOD,capture_rate_of_stage1_fn,0.25,0.005,0.2,10,0.10474369958609782,0.08133205743970082,0.046562250618367496,0.16292514855382814,0.0078125,1.2878525747827574,8,0,2
