seed,candidate_model,scenario,target_fpr,group,feature,n,mean,median,q25,q75
42,T0_E2E,IID_ORIGINAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,212,713.1603773584906,384.0,179.75,1030.0
42,T0_E2E,IID_ORIGINAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,212,54.54716981132076,42.5,30.0,66.25
42,T0_E2E,IID_ORIGINAL,0.005,COMMON_FN,text_chars,345,1188.927536231884,989.0,279.0,2100.0
42,T0_E2E,IID_ORIGINAL,0.005,COMMON_FN,url_chars,345,77.4608695652174,78.0,32.0,105.0
42,T0_E2E,IID_BALANCED,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,212,713.1603773584906,384.0,179.75,1030.0
42,T0_E2E,IID_BALANCED,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,212,54.54716981132076,42.5,30.0,66.25
42,T0_E2E,IID_BALANCED,0.005,COMMON_FN,text_chars,345,1188.927536231884,989.0,279.0,2100.0
42,T0_E2E,IID_BALANCED,0.005,COMMON_FN,url_chars,345,77.4608695652174,78.0,32.0,105.0
42,T0_E2E,TEMPORAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,894,1028.7013422818793,631.5,296.0,1552.0
42,T0_E2E,TEMPORAL,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,894,65.74944071588367,38.0,31.25,78.75
42,T0_E2E,TEMPORAL,0.005,COMMON_FN,text_chars,985,1073.1482233502538,830.0,271.0,2070.0
42,T0_E2E,TEMPORAL,0.005,COMMON_FN,url_chars,985,55.94213197969543,39.0,29.0,77.0
42,T0_E2E,DOMAIN_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,531,1030.09604519774,701.0,348.5,1501.5
42,T0_E2E,DOMAIN_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,531,67.06403013182674,38.0,31.0,84.0
42,T0_E2E,DOMAIN_OOD,0.005,COMMON_FN,text_chars,598,1006.6739130434783,677.5,239.0,1914.5
42,T0_E2E,DOMAIN_OOD,0.005,COMMON_FN,url_chars,598,53.063545150501675,35.0,28.0,57.0
42,T0_E2E,TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,815,1049.5079754601227,653.0,334.5,1560.5
42,T0_E2E,TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,815,64.0122699386503,38.0,31.0,77.0
42,T0_E2E,TEMPLATE_OOD,0.005,COMMON_FN,text_chars,885,1094.3887005649717,945.0,281.0,2072.0
42,T0_E2E,TEMPLATE_OOD,0.005,COMMON_FN,url_chars,885,54.47118644067797,38.0,29.0,68.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,text_chars,523,1037.959847036329,632.0,398.0,1514.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.005,B0_FN_RESCUED_BY_CANDIDATE,url_chars,523,67.17782026768643,38.0,31.0,84.0
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.005,COMMON_FN,text_chars,620,1083.8612903225805,840.0,285.75,2072.25
42,T0_E2E,DOMAIN_TEMPLATE_OOD,0.005,COMMON_FN,url_chars,620,51.86451612903226,35.0,28.0,54.0
42,T0_E2E,IID_ORIGINAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,207,781.9420289855072,384.0,180.5,1286.5
42,T0_E2E,IID_ORIGINAL,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,207,54.18840579710145,42.0,30.0,65.0
42,T0_E2E,IID_ORIGINAL,0.01,COMMON_FN,text_chars,316,1176.4620253164558,978.0,279.75,2092.0
42,T0_E2E,IID_ORIGINAL,0.01,COMMON_FN,url_chars,316,80.91455696202532,84.0,37.0,107.0
42,T0_E2E,IID_BALANCED,0.01,B0_FN_RESCUED_BY_CANDIDATE,text_chars,207,781.9420289855072,384.0,180.5,1286.5
42,T0_E2E,IID_BALANCED,0.01,B0_FN_RESCUED_BY_CANDIDATE,url_chars,207,54.18840579710145,42.0,30.0,65.0
42,T0_E2E,IID_BALANCED,0.01,COMMON_FN,text_chars,316,1176.4620253164558,978.0,279.75,2092.0
42,T0_E2E,IID_BALANCED,0.01,COMMON_FN,url_chars,316,80.91455696202532,84.0,37.0,107.0
