representation,classifier,label_budget,scenario,target_fpr,n_test,prevalence_phish,average_precision_mean,average_precision_std,roc_auc_mean,recall_mean,recall_std,precision_mean,f1_mean,calibration_empirical_fpr_mean,empirical_fpr_mean,empirical_fpr_std,fp_mean,fn_mean
BASE,LOGREG,0.25,DOMAIN_OOD,0.005,3858,0.5,0.9172233240515129,0.010082443950270385,0.9115982866085055,0.2401244167962675,0.07418730036251095,0.9870043471176768,0.3816894038974633,0.00468384074941452,0.0032141005702436497,0.0017732121696720654,6.2,1465.8
BASE,LOGREG,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.9111673116082027,0.009718917199288848,0.9051927143154718,0.23149946062567422,0.07437344155342407,0.9859118671630702,0.3702795604622612,0.00468384074941452,0.003344120819848975,0.0018449440535584759,6.2,1424.8
BASE,LOGREG,0.25,IID_BALANCED,0.005,2116,0.5,0.9133360321767947,0.004958709384813107,0.9044423440453686,0.20189035916824194,0.0695095887960431,0.9853020170376583,0.3308042370817103,0.00468384074941452,0.0032136105860113423,0.0025537346098499615,3.4,844.4
BASE,LOGREG,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.8624693895918666,0.008362110372716204,0.9041113652035433,0.20189035916824194,0.0695095887960431,0.9694628318998021,0.3298267348759957,0.00468384074941452,0.0035122930255895636,0.002271797576050531,7.0,844.4
BASE,LOGREG,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.9327185303405475,0.0053316433768846585,0.9271712981752765,0.26024590163934425,0.08004446510528435,0.9880709726778653,0.4067870997738868,0.00468384074941452,0.003278688524590164,0.0019572031206612156,11.2,2527.0
BASE,LOGREG,0.25,TEMPORAL,0.005,8000,0.5,0.9363120404935282,0.005982222050341951,0.9313946124999999,0.26665,0.07849494410470016,0.9883183267870613,0.4150020390298791,0.00468384074941452,0.0034500000000000004,0.002654006405418043,13.8,2933.4
BASE,MLP,0.25,DOMAIN_OOD,0.005,3858,0.5,0.9020449490067406,0.012783584137402383,0.8962696460479741,0.25184033177812337,0.04557735223247816,0.9758338549396651,0.39863245906561534,0.00468384074941452,0.006220839813374806,0.0023183701166405286,12.0,1443.2
BASE,MLP,0.25,DOMAIN_TEMPLATE_OOD,0.005,3708,0.5,0.8934021804234842,0.01342371901396077,0.8874310944934944,0.23549083063646173,0.044121017663076655,0.9735974373665929,0.3775698099989792,0.00468384074941452,0.006364617044228695,0.002332443183434698,11.8,1417.4
BASE,MLP,0.25,IID_BALANCED,0.005,2116,0.5,0.9159996071273568,0.005206768864075761,0.9094010527406635,0.3517958412098299,0.02750293941800874,0.9854907027698598,0.5180528985206426,0.00468384074941452,0.005103969754253308,0.0022762938712272774,5.4,685.8
BASE,MLP,0.25,IID_ORIGINAL,0.005,3051,0.3467715503113733,0.8647285049808426,0.008353200498698357,0.9094059833234848,0.3517958412098299,0.02750293941800874,0.9724601504835511,0.5162622441092124,0.00468384074941452,0.005218263923733066,0.001040463690583428,10.4,685.8
BASE,MLP,0.25,TEMPLATE_OOD,0.005,6832,0.5,0.9254155200882155,0.009104147384468032,0.9186767635702493,0.3334894613583138,0.049429050717684185,0.9842728352094268,0.49650536240359716,0.00468384074941452,0.0052693208430913355,0.0006209954167329163,18.0,2276.8
BASE,MLP,0.25,TEMPORAL,0.005,8000,0.5,0.9301436310549281,0.00895177120113568,0.9241305562500001,0.3438,0.045666043183091774,0.985044668242851,0.5083248158722035,0.00468384074941452,0.00515,0.0004541475531146239,20.6,2624.8
