representation,classifier,seed,label_budget,scenario,n_test,target_fpr,threshold,calibration_empirical_fpr,average_precision,roc_auc,precision,recall,f1,empirical_fpr,tp,fp,tn,fn,prevalence_phish
BASE,LOGREG,42,0.1,IID_BALANCED,2116,0.005,0.9933828711509706,0.00468384074941452,0.9037980924555247,0.8915509164132489,0.9891696750902527,0.2589792060491493,0.41048689138576777,0.002835538752362949,274,3,1055,784,0.5
BASE,LOGREG,42,0.1,TEMPORAL,2116,0.005,0.9933828711509706,0.00468384074941452,0.9125575354570317,0.9069882540442609,0.9789473684210527,0.17580340264650285,0.2980769230769231,0.003780718336483932,186,4,1054,872,0.5
BASE,LOGREG,42,0.1,DOMAIN_OOD,2116,0.005,0.9933828711509706,0.00468384074941452,0.8872050860421479,0.8882990698289387,0.9831932773109243,0.11058601134215501,0.1988105352591334,0.001890359168241966,117,2,1056,941,0.5
BASE,LOGREG,42,0.1,TEMPLATE_OOD,2116,0.005,0.9933828711509706,0.00468384074941452,0.9094846379028645,0.9023865337816832,0.9883040935672515,0.15973534971644612,0.27502034174125306,0.001890359168241966,169,2,1056,889,0.5
BASE,LOGREG,42,0.1,DOMAIN_TEMPLATE_OOD,2116,0.005,0.9933828711509706,0.00468384074941452,0.8804328071886078,0.8754176478786168,0.9826086956521739,0.10680529300567108,0.1926683716965047,0.001890359168241966,113,2,1056,945,0.5
BASE,LOGREG,42,0.1,IID_BALANCED,2116,0.01,0.9837507009506227,0.00936768149882904,0.9037980924555247,0.8915509164132489,0.9896373056994818,0.3610586011342155,0.5290858725761773,0.003780718336483932,382,4,1054,676,0.5
BASE,LOGREG,42,0.1,TEMPORAL,2116,0.01,0.9837507009506227,0.00936768149882904,0.9125575354570317,0.9069882540442609,0.985239852398524,0.2523629489603025,0.4018058690744921,0.003780718336483932,267,4,1054,791,0.5
BASE,LOGREG,42,0.1,DOMAIN_OOD,2116,0.01,0.9837507009506227,0.00936768149882904,0.8872050860421479,0.8882990698289387,0.9787234042553191,0.17391304347826086,0.2953451043338684,0.003780718336483932,184,4,1054,874,0.5
BASE,LOGREG,42,0.1,TEMPLATE_OOD,2116,0.01,0.9837507009506227,0.00936768149882904,0.9094846379028645,0.9023865337816832,0.9800796812749004,0.23251417769376181,0.3758594346829641,0.004725897920604915,246,5,1053,812,0.5
BASE,LOGREG,42,0.1,DOMAIN_TEMPLATE_OOD,2116,0.01,0.9837507009506227,0.00936768149882904,0.8804328071886078,0.8754176478786168,0.9719101123595506,0.16351606805293006,0.27993527508090615,0.004725897920604915,173,5,1053,885,0.5
BASE,LOGREG,42,0.1,IID_BALANCED,2116,0.02,0.9305425882339479,0.01990632318501171,0.9037980924555247,0.8915509164132489,0.967680608365019,0.4810964083175803,0.6426767676767676,0.01606805293005671,509,17,1041,549,0.5
BASE,LOGREG,42,0.1,TEMPORAL,2116,0.02,0.9305425882339479,0.01990632318501171,0.9125575354570317,0.9069882540442609,0.9588744588744589,0.41871455576559546,0.5828947368421052,0.017958412098298678,443,19,1039,615,0.5
BASE,LOGREG,42,0.1,DOMAIN_OOD,2116,0.02,0.9305425882339479,0.01990632318501171,0.8872050860421479,0.8882990698289387,0.9302949061662198,0.3279773156899811,0.48497554157931516,0.024574669187145556,347,26,1032,711,0.5
BASE,LOGREG,42,0.1,TEMPLATE_OOD,2116,0.02,0.9305425882339479,0.01990632318501171,0.9094846379028645,0.9023865337816832,0.9527027027027027,0.3998109640831758,0.563249001331558,0.01984877126654064,423,21,1037,635,0.5
BASE,LOGREG,42,0.1,DOMAIN_TEMPLATE_OOD,2116,0.02,0.9305425882339479,0.01990632318501171,0.8804328071886078,0.8754176478786168,0.9361111111111111,0.31852551984877125,0.47531734837799716,0.021739130434782608,337,23,1035,721,0.5
BASE,XGBOOST,42,0.1,IID_BALANCED,2116,0.005,0.9927988052368165,0.00468384074941452,0.8671597506491449,0.8762824246625762,0.9385964912280702,0.10113421550094517,0.1825938566552901,0.006616257088846881,107,7,1051,951,0.5
BASE,XGBOOST,42,0.1,TEMPORAL,2116,0.005,0.9927988052368165,0.00468384074941452,0.8910007320040991,0.887456627156135,0.9655172413793104,0.18525519848771266,0.31086439333862015,0.006616257088846881,196,7,1051,862,0.5
BASE,XGBOOST,42,0.1,DOMAIN_OOD,2116,0.005,0.9927988052368165,0.00468384074941452,0.8628956960908192,0.8634760453257385,1.0,0.07655954631379962,0.14223002633889376,0.0,81,0,1058,977,0.5
BASE,XGBOOST,42,0.1,TEMPLATE_OOD,2116,0.005,0.9927988052368165,0.00468384074941452,0.8833813566606079,0.8745993260458615,0.9944444444444445,0.16918714555765596,0.28917609046849757,0.000945179584120983,179,1,1057,879,0.5
BASE,XGBOOST,42,0.1,DOMAIN_TEMPLATE_OOD,2116,0.005,0.9927988052368165,0.00468384074941452,0.8491207548920585,0.850692893464503,0.9861111111111112,0.0671077504725898,0.1256637168141593,0.000945179584120983,71,1,1057,987,0.5
BASE,XGBOOST,42,0.1,IID_BALANCED,2116,0.01,0.9896691441535951,0.00936768149882904,0.8671597506491449,0.8762824246625762,0.9391891891891891,0.13137996219281664,0.23051409618573798,0.008506616257088847,139,9,1049,919,0.5
BASE,XGBOOST,42,0.1,TEMPORAL,2116,0.01,0.9896691441535951,0.00936768149882904,0.8910007320040991,0.887456627156135,0.9625,0.21833648393194707,0.3559322033898305,0.008506616257088847,231,9,1049,827,0.5
BASE,XGBOOST,42,0.1,DOMAIN_OOD,2116,0.01,0.9896691441535951,0.00936768149882904,0.8628956960908192,0.8634760453257385,0.9557522123893806,0.10207939508506617,0.18445772843723313,0.004725897920604915,108,5,1053,950,0.5
BASE,XGBOOST,42,0.1,TEMPLATE_OOD,2116,0.01,0.9896691441535951,0.00936768149882904,0.8833813566606079,0.8745993260458615,0.9822222222222222,0.20888468809073724,0.34450506625097427,0.003780718336483932,221,4,1054,837,0.5
BASE,XGBOOST,42,0.1,DOMAIN_TEMPLATE_OOD,2116,0.01,0.9896691441535951,0.00936768149882904,0.8491207548920585,0.850692893464503,0.9504950495049505,0.09073724007561437,0.16566005176876616,0.004725897920604915,96,5,1053,962,0.5
BASE,XGBOOST,42,0.1,IID_BALANCED,2116,0.02,0.9622293710708619,0.01990632318501171,0.8671597506491449,0.8762824246625762,0.9314720812182741,0.34688090737240074,0.5055096418732782,0.02551984877126654,367,27,1031,691,0.5
BASE,XGBOOST,42,0.1,TEMPORAL,2116,0.02,0.9622293710708619,0.01990632318501171,0.8910007320040991,0.887456627156135,0.9489795918367347,0.3516068052930057,0.5131034482758621,0.01890359168241966,372,20,1038,686,0.5
BASE,XGBOOST,42,0.1,DOMAIN_OOD,2116,0.02,0.9622293710708619,0.01990632318501171,0.8628956960908192,0.8634760453257385,0.9377431906614786,0.2277882797731569,0.3665399239543726,0.015122873345935728,241,16,1042,817,0.5
BASE,XGBOOST,42,0.1,TEMPLATE_OOD,2116,0.02,0.9622293710708619,0.01990632318501171,0.8833813566606079,0.8745993260458615,0.9501385041551247,0.32419659735349715,0.4834390415785765,0.017013232514177693,343,18,1040,715,0.5
BASE,XGBOOST,42,0.1,DOMAIN_TEMPLATE_OOD,2116,0.02,0.9622293710708619,0.01990632318501171,0.8491207548920585,0.850692893464503,0.9288702928870293,0.20982986767485823,0.34232845026985353,0.01606805293005671,222,17,1041,836,0.5
BASE,MLP,42,0.1,IID_BALANCED,2116,0.005,0.9951568245887757,0.00468384074941452,0.9020461070448695,0.8933045908212164,0.9809782608695652,0.34120982986767484,0.5063113604488079,0.006616257088846881,361,7,1051,697,0.5
BASE,MLP,42,0.1,TEMPORAL,2116,0.005,0.9951568245887757,0.00468384074941452,0.9024334412910447,0.8943444670366386,0.9641791044776119,0.3052930056710775,0.4637473079684135,0.011342155009451797,323,12,1046,735,0.5
BASE,MLP,42,0.1,DOMAIN_OOD,2116,0.005,0.9951568245887757,0.00468384074941452,0.8714965722052502,0.8693802909509328,0.961352657004831,0.1880907372400756,0.31462450592885377,0.007561436672967864,199,8,1050,859,0.5
BASE,MLP,42,0.1,TEMPLATE_OOD,2116,0.005,0.9951568245887757,0.00468384074941452,0.8954820574770284,0.8859423744197599,0.9707792207792207,0.2826086956521739,0.4377745241581259,0.008506616257088847,299,9,1049,759,0.5
BASE,MLP,42,0.1,DOMAIN_TEMPLATE_OOD,2116,0.005,0.9951568245887757,0.00468384074941452,0.8623621470962458,0.8559217555683405,0.9685863874345549,0.17485822306238186,0.2962369895916733,0.005671077504725898,185,6,1052,873,0.5
