model,seed,label_budget,scenario,target_fpr,review_fraction,direct_recall,direct_fpr,direct_ap,stage1_recall,stage1_fpr,review_precision,assisted_recall,capture_rate
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.05,0.6162570888468809,0.004515805318615153,0.904285689768303,0.4612476370510397,0.0030105368790767687,0.9765625,0.5793950850661626,0.21929824561403508
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.1,0.6162570888468809,0.004515805318615153,0.904285689768303,0.4612476370510397,0.0030105368790767687,0.96484375,0.6947069943289225,0.43333333333333335
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.2,0.6162570888468809,0.004515805318615153,0.904285689768303,0.4612476370510397,0.0030105368790767687,0.736328125,0.8175803402646503,0.6614035087719298
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.05,0.6162570888468809,0.005671077504725898,0.9340298579795779,0.4612476370510397,0.002835538752362949,0.975609756097561,0.5368620037807184,0.14035087719298245
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.1,0.6162570888468809,0.005671077504725898,0.9340298579795779,0.4612476370510397,0.002835538752362949,0.9754601226993865,0.611531190926276,0.2789473684210526
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.2,0.6162570888468809,0.005671077504725898,0.9340298579795779,0.4612476370510397,0.002835538752362949,0.9507692307692308,0.7533081285444234,0.5421052631578948
T0_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.05,0.65975,0.004,0.973901765503776,0.53475,0.00175,0.9965870307167235,0.60775,0.1569048898441698
T0_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.1,0.65975,0.004,0.973901765503776,0.53475,0.00175,0.9897610921501706,0.67975,0.31166039763567976
T0_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.2,0.65975,0.004,0.973901765503776,0.53475,0.00175,0.9658411614005123,0.8175,0.6077377753895755
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.05,0.576464489372732,0.005184033177812338,0.9648597152260461,0.45049248315189216,0.002592016588906169,1.0,0.5282529808190772,0.14150943396226415
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.1,0.576464489372732,0.005184033177812338,0.9648597152260461,0.45049248315189216,0.002592016588906169,0.9899665551839465,0.6039398652151374,0.2792452830188679
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.2,0.576464489372732,0.005184033177812338,0.9648597152260461,0.45049248315189216,0.002592016588906169,0.9631490787269682,0.7485743908761016,0.5424528301886793
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.005,0.05,0.6484192037470726,0.004098360655737705,0.9719887875392785,0.5152224824355972,0.0020491803278688526,0.9960629921259843,0.5892857142857143,0.1527777777777778
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.005,0.1,0.6484192037470726,0.004098360655737705,0.9719887875392785,0.5152224824355972,0.0020491803278688526,0.9921104536489151,0.6624707259953162,0.303743961352657
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.005,0.2,0.6484192037470726,0.004098360655737705,0.9719887875392785,0.5152224824355972,0.0020491803278688526,0.9684106614017769,0.802400468384075,0.592391304347826
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.05,0.5507011866235167,0.0048543689320388345,0.963020995733191,0.42340884573894283,0.002696871628910464,1.0,0.5021574973031284,0.13657623947614594
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.1,0.5507011866235167,0.0048543689320388345,0.963020995733191,0.42340884573894283,0.002696871628910464,0.9931506849315068,0.5798274002157497,0.27128157156220767
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.005,0.2,0.5507011866235167,0.0048543689320388345,0.963020995733191,0.42340884573894283,0.002696871628910464,0.9674657534246576,0.7281553398058253,0.5285313376987839
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.01,0.05,0.6824196597353497,0.009031610637230306,0.904285689768303,0.5642722117202268,0.006522829904666332,0.959349593495935,0.6758034026465028,0.2559652928416486
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.01,0.1,0.6824196597353497,0.009031610637230306,0.904285689768303,0.5642722117202268,0.006522829904666332,0.9020408163265307,0.7731568998109641,0.4793926247288503
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.01,0.2,0.6824196597353497,0.009031610637230306,0.904285689768303,0.5642722117202268,0.006522829904666332,0.5950920245398773,0.8393194706994329,0.631236442516269
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.01,0.05,0.6824196597353497,0.011342155009451797,0.9340298579795779,0.5642722117202268,0.007561436672967864,0.9868421052631579,0.6351606805293005,0.16268980477223427
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.01,0.1,0.6824196597353497,0.011342155009451797,0.9340298579795779,0.5642722117202268,0.007561436672967864,0.9802631578947368,0.7051039697542533,0.3232104121475054
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.01,0.2,0.6824196597353497,0.011342155009451797,0.9340298579795779,0.5642722117202268,0.007561436672967864,0.8613861386138614,0.8109640831758034,0.5661605206073753
T0_AL_SELECTED,42,0.25,TEMPORAL,0.01,0.05,0.765,0.00925,0.973901765503776,0.657,0.00475,0.996268656716418,0.72375,0.1946064139941691
T0_AL_SELECTED,42,0.25,TEMPORAL,0.01,0.1,0.765,0.00925,0.973901765503776,0.657,0.00475,0.9738805970149254,0.7875,0.380466472303207
T0_AL_SELECTED,42,0.25,TEMPORAL,0.01,0.2,0.765,0.00925,0.973901765503776,0.657,0.00475,0.8739495798319328,0.891,0.6822157434402333
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.01,0.05,0.7081389320891653,0.012960082944530845,0.9648597152260461,0.5909797822706065,0.00673924313115604,0.9926470588235294,0.6609642301710731,0.17110266159695817
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.01,0.1,0.7081389320891653,0.012960082944530845,0.9648597152260461,0.5909797822706065,0.00673924313115604,0.977859778597786,0.7283566614826334,0.3358681875792142
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.01,0.2,0.7081389320891653,0.012960082944530845,0.9648597152260461,0.5909797822706065,0.00673924313115604,0.9038817005545287,0.8444790046656299,0.6197718631178707
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.01,0.05,0.7543911007025761,0.00936768149882904,0.9719887875392785,0.6443208430913349,0.0055620608899297425,1.0,0.711943793911007,0.19012345679012346
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.01,0.1,0.7543911007025761,0.00936768149882904,0.9719887875392785,0.6443208430913349,0.0055620608899297425,0.9761904761904762,0.7763466042154566,0.37119341563786007
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.01,0.2,0.7543911007025761,0.00936768149882904,0.9719887875392785,0.6443208430913349,0.0055620608899297425,0.886240520043337,0.8837822014051522,0.6732510288065844
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.01,0.05,0.68554476806904,0.011866235167206042,0.963020995733191,0.5609492988133765,0.007011866235167206,1.0,0.6326860841423948,0.16339066339066338
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.01,0.1,0.68554476806904,0.011866235167206042,0.963020995733191,0.5609492988133765,0.007011866235167206,0.9849624060150376,0.7022653721682848,0.32186732186732187
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.01,0.2,0.68554476806904,0.011866235167206042,0.963020995733191,0.5609492988133765,0.007011866235167206,0.9190207156308852,0.8241639697950378,0.5995085995085995
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.02,0.05,0.7448015122873346,0.021073758153537382,0.904285689768303,0.6502835538752363,0.015554440541896638,0.9487179487179487,0.7551984877126654,0.3
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.02,0.1,0.7448015122873346,0.021073758153537382,0.904285689768303,0.6502835538752363,0.015554440541896638,0.7307692307692307,0.8119092627599244,0.46216216216216216
T0_AL_SELECTED,42,0.25,IID_ORIGINAL,0.02,0.2,0.7448015122873346,0.021073758153537382,0.904285689768303,0.6502835538752363,0.015554440541896638,0.45610278372591007,0.8516068052930057,0.5756756756756757
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.02,0.05,0.7448015122873346,0.021739130434782608,0.9340298579795779,0.6502835538752363,0.017958412098298678,1.0,0.717391304347826,0.1918918918918919
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.02,0.1,0.7448015122873346,0.021739130434782608,0.9340298579795779,0.6502835538752363,0.017958412098298678,0.9432624113475178,0.775992438563327,0.35945945945945945
T0_AL_SELECTED,42,0.25,IID_BALANCED,0.02,0.2,0.7448015122873346,0.021739130434782608,0.9340298579795779,0.6502835538752363,0.017958412098298678,0.7021276595744681,0.8374291115311909,0.5351351351351351
T0_AL_SELECTED,42,0.25,TEMPORAL,0.02,0.05,0.8465,0.021,0.973901765503776,0.75175,0.0125,0.9758064516129032,0.81225,0.24370594159113795
T0_AL_SELECTED,42,0.25,TEMPORAL,0.02,0.1,0.8465,0.021,0.973901765503776,0.75175,0.0125,0.9171717171717172,0.86525,0.45720040281973817
T0_AL_SELECTED,42,0.25,TEMPORAL,0.02,0.2,0.8465,0.021,0.973901765503776,0.75175,0.0125,0.7077856420626896,0.92675,0.7049345417925479
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.02,0.05,0.8175220321410057,0.027475375842405392,0.9648597152260461,0.6941420425090721,0.01918092275790565,0.976,0.7573872472783826,0.20677966101694914
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.02,0.1,0.8175220321410057,0.027475375842405392,0.9648597152260461,0.6941420425090721,0.01918092275790565,0.9196787148594378,0.8128564022809746,0.38813559322033897
T0_AL_SELECTED,42,0.25,DOMAIN_OOD,0.02,0.2,0.8175220321410057,0.027475375842405392,0.9648597152260461,0.6941420425090721,0.01918092275790565,0.7887323943661971,0.8973561430793157,0.6644067796610169
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.02,0.05,0.8401639344262295,0.021370023419203747,0.9719887875392785,0.7403395784543325,0.01405152224824356,0.9812206572769953,0.8015222482435597,0.23562570462232243
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.02,0.1,0.8401639344262295,0.021370023419203747,0.9719887875392785,0.7403395784543325,0.01405152224824356,0.9178403755868545,0.8548009367681498,0.44081172491544535
T0_AL_SELECTED,42,0.25,TEMPLATE_OOD,0.02,0.2,0.8401639344262295,0.021370023419203747,0.9719887875392785,0.7403395784543325,0.01405152224824356,0.7226792009400705,0.9203747072599532,0.6933483652762119
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.02,0.05,0.8004314994606256,0.025889967637540454,0.963020995733191,0.6704422869471414,0.018878101402373247,0.9836065573770492,0.7351672060409924,0.19639934533551553
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.02,0.1,0.8004314994606256,0.025889967637540454,0.963020995733191,0.6704422869471414,0.018878101402373247,0.9300411522633745,0.7923408845738943,0.3698854337152209
T0_AL_SELECTED,42,0.25,DOMAIN_TEMPLATE_OOD,0.02,0.2,0.8004314994606256,0.025889967637540454,0.963020995733191,0.6704422869471414,0.018878101402373247,0.8209876543209876,0.8856526429341963,0.6530278232405892
DAPT_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.05,0.6521739130434783,0.004515805318615153,0.8860255218305951,0.4612476370510397,0.0030105368790767687,0.984375,0.5803402646502835,0.22105263157894736
DAPT_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.1,0.6521739130434783,0.004515805318615153,0.8860255218305951,0.4612476370510397,0.0030105368790767687,0.97265625,0.6965973534971645,0.4368421052631579
DAPT_AL_SELECTED,42,0.25,IID_ORIGINAL,0.005,0.2,0.6521739130434783,0.004515805318615153,0.8860255218305951,0.4612476370510397,0.0030105368790767687,0.712890625,0.8062381852551985,0.6403508771929824
DAPT_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.05,0.6521739130434783,0.006616257088846881,0.9182054308202754,0.4612476370510397,0.002835538752362949,0.975609756097561,0.5368620037807184,0.14035087719298245
DAPT_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.1,0.6521739130434783,0.006616257088846881,0.9182054308202754,0.4612476370510397,0.002835538752362949,0.9877300613496932,0.6134215500945179,0.2824561403508772
DAPT_AL_SELECTED,42,0.25,IID_BALANCED,0.005,0.2,0.6521739130434783,0.006616257088846881,0.9182054308202754,0.4612476370510397,0.002835538752362949,0.9446153846153846,0.7514177693761814,0.5385964912280702
DAPT_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.05,0.7105,0.003,0.9720059399969443,0.53475,0.00175,0.9965870307167235,0.60775,0.1569048898441698
DAPT_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.1,0.7105,0.003,0.9720059399969443,0.53475,0.00175,0.9965870307167235,0.68075,0.3138097796883396
DAPT_AL_SELECTED,42,0.25,TEMPORAL,0.005,0.2,0.7105,0.003,0.9720059399969443,0.53475,0.00175,0.9812126387702819,0.822,0.6174099946265449
DAPT_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.05,0.6443753240020736,0.002592016588906169,0.9691127494375248,0.45049248315189216,0.002592016588906169,1.0,0.5282529808190772,0.14150943396226415
DAPT_AL_SELECTED,42,0.25,DOMAIN_OOD,0.005,0.1,0.6443753240020736,0.002592016588906169,0.9691127494375248,0.45049248315189216,0.002592016588906169,0.9966555183946488,0.6049766718506998,0.2811320754716981
