strategy,label_budget,scenario,target_fpr,review_fraction_of_stage1_negatives,stage1_recall_mean,stage1_fpr_mean,dapt_recall_mean,dapt_recall_std,dapt_fpr_mean,dapt_ap_mean,review_precision_mean,capture_rate_mean,assisted_recall_mean,assisted_recall_std,review_fraction_all_mean
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.005,0.05,0.35909797822706063,0.0066355624675997925,0.28325557283566616,0.10341137773216712,0.004458268532918611,0.9250676962426274,0.9726798388205324,0.12490448387449607,0.43893208916537063,0.04511667777671223,0.04103162260238465
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.005,0.1,0.35909797822706063,0.0066355624675997925,0.28325557283566616,0.10341137773216712,0.004458268532918611,0.9250676962426274,0.9555272243887416,0.2447898649658647,0.5155520995334371,0.04269848542210529,0.08185588387765683
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.005,0.2,0.35909797822706063,0.0066355624675997925,0.28325557283566616,0.10341137773216712,0.004458268532918611,0.9250676962426274,0.9125326984505084,0.4669747567617383,0.6575427682737169,0.039984846650155156,0.16350440642820113
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.01,0.05,0.4520476931052359,0.01503369621565578,0.3819077242094349,0.09008261038709581,0.009072058061171593,0.9250676962426274,0.9575636607920618,0.1348115993526635,0.5256609642301711,0.04913024447870109,0.038413685847589425
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.01,0.1,0.4520476931052359,0.01503369621565578,0.3819077242094349,0.09008261038709581,0.009072058061171593,0.9250676962426274,0.9317823399268812,0.26204345041902466,0.5951788491446346,0.0452154492182032,0.07674961119751167
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.01,0.2,0.4520476931052359,0.01503369621565578,0.3819077242094349,0.09008261038709581,0.009072058061171593,0.9250676962426274,0.8798888055281852,0.4944670543296269,0.7221358216692587,0.040617450401047785,0.15336962156557804
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.02,0.05,0.5484707102125453,0.030793157076205287,0.5387765681700363,0.08286062587000695,0.02177293934681182,0.9250676962426274,0.9374106843029232,0.14866703788995467,0.6153965785381026,0.039876602504560696,0.035666148263348886
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.02,0.1,0.5484707102125453,0.030793157076205287,0.5387765681700363,0.08286062587000695,0.02177293934681182,0.9250676962426274,0.9043705890800962,0.28622278929415873,0.6771902540176258,0.038322166362769874,0.07112493519958527
RANDOM_GLOBAL,0.1,DOMAIN_OOD,0.02,0.2,0.5484707102125453,0.030793157076205287,0.5387765681700363,0.08286062587000695,0.02177293934681182,0.9250676962426274,0.8255387977440474,0.5217271419617455,0.7834110938310006,0.03287837922318896,0.1421461897356143
RANDOM_GLOBAL,0.1,DOMAIN_TEMPLATE_OOD,0.005,0.05,0.33176914778856526,0.006526429341963323,0.2738942826321467,0.09840023559077314,0.00447680690399137,0.9176004083354398,0.9733971455772966,0.12174906513552712,0.412891046386192,0.046603974067937044,0.04166666666666667
RANDOM_GLOBAL,0.1,DOMAIN_TEMPLATE_OOD,0.005,0.1,0.33176914778856526,0.006526429341963323,0.2738942826321467,0.09840023559077314,0.00447680690399137,0.9176004083354398,0.9596975968571062,0.2397205531053818,0.49153182308522114,0.04381753884588856,0.08322545846817692
RANDOM_GLOBAL,0.1,DOMAIN_TEMPLATE_OOD,0.005,0.2,0.33176914778856526,0.006526429341963323,0.2738942826321467,0.09840023559077314,0.00447680690399137,0.9176004083354398,0.9131428586385374,0.4558291644223814,0.6355447680690399,0.041198572404742666,0.1663160733549083
RANDOM_GLOBAL,0.1,DOMAIN_TEMPLATE_OOD,0.01,0.05,0.4253505933117584,0.01483279395900755,0.3644552319309601,0.08776807943407015,0.008845738942826321,0.9176004083354398,0.957335375358339,0.130913292245634,0.5003236245954692,0.051720095072024595,0.03913160733549083
RANDOM_GLOBAL,0.1,DOMAIN_TEMPLATE_OOD,0.01,0.1,0.4253505933117584,0.01483279395900755,0.3644552319309601,0.08776807943407015,0.008845738942826321,0.9176004083354398,0.934047980533822,0.2549591396804634,0.5714131607335491,0.047563723170408245,0.07812837108953614
