model,seed,target_fpr,comparison,iid_n,ood_n,iid_prevalence,ood_prevalence,iid_ap,ood_ap,ap_delta_ood_minus_iid,iid_empirical_fpr,ood_empirical_fpr,empirical_fpr_delta,iid_recall,ood_recall,recall_delta
B0_STRUCT_XGB,42,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9114686857079297,0.958739163912511,0.0472704782045813,0.006616257088846881,0.00275,-0.003866257088846881,0.4735349716446125,0.53025,0.0567150283553875
B0_STRUCT_XGB,42,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9114686857079297,0.935606752487386,0.02413806677945629,0.006616257088846881,0.002592016588906169,-0.004024240499940712,0.4735349716446125,0.41472265422498705,-0.05881231741962545
B0_STRUCT_XGB,42,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9114686857079297,0.954224095148117,0.0427554094401873,0.006616257088846881,0.002927400468384075,-0.0036888566204628056,0.4735349716446125,0.5023419203747073,0.02880694873009476
B0_STRUCT_XGB,42,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9114686857079297,0.9311473990718969,0.019678713363967204,0.006616257088846881,0.002157497303128371,-0.00445875978571851,0.4735349716446125,0.38349514563106796,-0.09003982601354454
B0_STRUCT_XGB,42,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9114686857079297,0.958739163912511,0.0472704782045813,0.012287334593572778,0.0045,-0.0077873345935727785,0.505671077504726,0.56075,0.05507892249527402
B0_STRUCT_XGB,42,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9114686857079297,0.935606752487386,0.02413806677945629,0.012287334593572778,0.005702436495593572,-0.006584898097979206,0.505671077504726,0.45308449974079834,-0.05258657776392761
B0_STRUCT_XGB,42,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9114686857079297,0.954224095148117,0.0427554094401873,0.012287334593572778,0.004976580796252928,-0.0073107537973198505,0.505671077504726,0.5357142857142857,0.030043208209559746
B0_STRUCT_XGB,42,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9114686857079297,0.9311473990718969,0.019678713363967204,0.012287334593572778,0.005393743257820928,-0.00689359133575185,0.505671077504726,0.4228694714131607,-0.08280160609156523
B0_STRUCT_XGB,42,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9114686857079297,0.958739163912511,0.0472704782045813,0.021739130434782608,0.01625,-0.0054891304347826075,0.5954631379962193,0.68375,0.08828686200378066
B0_STRUCT_XGB,42,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9114686857079297,0.935606752487386,0.02413806677945629,0.021739130434782608,0.024883359253499222,0.0031442288187166142,0.5954631379962193,0.5977190254017626,0.0022558874055432776
B0_STRUCT_XGB,42,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9114686857079297,0.954224095148117,0.0427554094401873,0.021739130434782608,0.01727166276346604,-0.004467467671316568,0.5954631379962193,0.6677400468384075,0.07227690884218818
B0_STRUCT_XGB,42,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9114686857079297,0.9311473990718969,0.019678713363967204,0.021739130434782608,0.023732470334412083,0.0019933398996294753,0.5954631379962193,0.5814455231930961,-0.014017614803123246
B0_STRUCT_XGB,52,0.005,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9156561067455489,0.9533433607270207,0.03768725398147188,0.006616257088846881,0.00425,-0.0023662570888468805,0.444234404536862,0.5175,0.07326559546313793
B0_STRUCT_XGB,52,0.005,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9156561067455489,0.9304290504235573,0.01477294367800841,0.006616257088846881,0.004665629860031105,-0.0019506272288157761,0.444234404536862,0.4297563504406428,-0.014478054096219217
B0_STRUCT_XGB,52,0.005,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9156561067455489,0.9489251817616079,0.033269075016059024,0.006616257088846881,0.00468384074941452,-0.0019324163394323609,0.444234404536862,0.4979508196721312,0.05371641513526915
B0_STRUCT_XGB,52,0.005,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9156561067455489,0.9245636396478302,0.008907532902281301,0.006616257088846881,0.004314994606256742,-0.002301262482590139,0.444234404536862,0.389428263214671,-0.054806141322191027
B0_STRUCT_XGB,52,0.01,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9156561067455489,0.9533433607270207,0.03768725398147188,0.011342155009451797,0.00875,-0.0025921550094517957,0.501890359168242,0.58175,0.079859640831758
B0_STRUCT_XGB,52,0.01,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9156561067455489,0.9304290504235573,0.01477294367800841,0.011342155009451797,0.011923276308968377,0.0005811212995165804,0.501890359168242,0.49144634525660963,-0.010444013911632355
B0_STRUCT_XGB,52,0.01,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9156561067455489,0.9489251817616079,0.033269075016059024,0.011342155009451797,0.009953161592505855,-0.0013889934169459411,0.501890359168242,0.561768149882904,0.05987779071466204
B0_STRUCT_XGB,52,0.01,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9156561067455489,0.9245636396478302,0.008907532902281301,0.011342155009451797,0.011866235167206042,0.0005240801577542451,0.501890359168242,0.45361380798274004,-0.04827655118550195
B0_STRUCT_XGB,52,0.02,IID_BALANCED->TEMPORAL,2116,8000,0.5,0.5,0.9156561067455489,0.9533433607270207,0.03768725398147188,0.020793950850661626,0.0195,-0.0012939508506616265,0.5897920604914934,0.66775,0.0779579395085066
B0_STRUCT_XGB,52,0.02,IID_BALANCED->DOMAIN_OOD,2116,3858,0.5,0.5,0.9156561067455489,0.9304290504235573,0.01477294367800841,0.020793950850661626,0.029548989113530325,0.008755038262868699,0.5897920604914934,0.589942975635044,0.00015091514355070057
B0_STRUCT_XGB,52,0.02,IID_BALANCED->TEMPLATE_OOD,2116,6832,0.5,0.5,0.9156561067455489,0.9489251817616079,0.033269075016059024,0.020793950850661626,0.021955503512880562,0.0011615526622189357,0.5897920604914934,0.6531030444964872,0.0633109840049938
B0_STRUCT_XGB,52,0.02,IID_BALANCED->DOMAIN_TEMPLATE_OOD,2116,3708,0.5,0.5,0.9156561067455489,0.9245636396478302,0.008907532902281301,0.020793950850661626,0.0296655879180151,0.008871637067353475,0.5897920604914934,0.5647249190938511,-0.025067141397642212
