seed_group,contrast,scenario,metric,target_fpr,review_fraction,n_seeds,mean_difference,sd_difference,ci95_low,ci95_high,exact_signflip_p_two_sided,cohen_dz,wins,ties,losses
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_recall,0.005,0.2,5,0.00019999999999998909,0.1664329256787851,-0.20645377193107065,0.2068537719310706,1.0,0.001201685298652914,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_fpr,0.005,0.2,5,0.00075,0.0012119199643540822,-0.0007547973884428558,0.002254797388442856,0.25,0.6188527477552761,4,0,1
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,direct_ap,0.005,0.2,5,0.0010064445704803804,0.0048596622433412975,-0.0050276230805066605,0.007040512221467421,0.6875,0.20710175318447477,3,0,2
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,assisted_recall,0.005,0.2,5,-0.00020000000000002237,0.005552026656996528,-0.007093751617060224,0.006693751617060179,1.0,-0.036022881797223946,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,review_precision,0.005,0.2,5,-0.0006871545023759973,0.020992116144655702,-0.026752309365307033,0.02537800036055504,1.0,-0.03273393199812955,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,TEMPORAL,capture_rate,0.005,0.2,5,-0.0005370257163248793,0.01718297176724192,-0.02187250314186092,0.020798451709211165,1.0,-0.03125336662361743,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_recall,0.005,0.2,5,-0.0025920165889061876,0.2133206031488675,-0.267464529593968,0.26228049641615564,1.0,-0.012150802832192107,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_fpr,0.005,0.2,5,0.001347848626231208,0.0018181107223172817,-0.0009096340024184056,0.0036053312548808216,0.25,0.7413457330658614,4,0,1
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,direct_ap,0.005,0.2,5,0.0002495006759341445,0.004614641220088268,-0.005480333191676562,0.005979334543544851,1.0,0.054067188332654836,2,0,3
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,assisted_recall,0.005,0.2,5,-0.0006220839813374735,0.005881079440494232,-0.007924408593175511,0.006680240630500565,0.9375,-0.10577717706958827,1,0,4
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,review_precision,0.005,0.2,5,-0.0020961390410237034,0.021092343924181942,-0.028285743129412375,0.02409346504736497,0.875,-0.09937914195588868,1,0,4
ORIGINAL5,DAPT_SSL_REFRESH_minus_DAPT_STATIC,DOMAIN_OOD,capture_rate,0.005,0.2,5,-0.0013522446079343275,0.014992494033416574,-0.019967884692512462,0.01726339547664381,0.875,-0.09019477379282774,1,0,4
