strategy,label_budget,assisted_recall,dapt_recall,n_labeled,delta_assisted_recall,delta_labels,assisted_recall_gain_pp_per_100_labels
RANDOM_GLOBAL,0.1,0.6887580521184761,0.3512987197217542,400,,,
RANDOM_GLOBAL,0.15,0.7209502258277976,0.4526292773213445,600,0.03219217370932148,200.0,1.609608685466074
RANDOM_GLOBAL,0.2,0.7599300492526813,0.5331237103228872,800,0.03897982342488371,200.0,1.9489911712441854
RANDOM_GLOBAL,0.25,0.7727733411652976,0.4320962617193851,1000,0.01284329191261635,200.0,0.6421645956308175
UNCERTAINTY_GLOBAL,0.1,0.6887580521184761,0.3512987197217542,400,,,
UNCERTAINTY_GLOBAL,0.15,0.7813320090410426,0.5376195196527901,600,0.09257395692256654,200.0,4.628697846128327
UNCERTAINTY_GLOBAL,0.2,0.7942104926818068,0.6096589991656614,800,0.01287848364076416,200.0,0.643924182038208
UNCERTAINTY_GLOBAL,0.25,0.8734802412404669,0.6266476536083558,1000,0.07926974855866009,200.0,3.9634874279330043
UNCERTAINTY_POST_CASCADE,0.1,0.6887580521184761,0.3512987197217542,400,,,
UNCERTAINTY_POST_CASCADE,0.15,0.7740148121259993,0.5032357094351496,600,0.08525676000752325,200.0,4.262838000376163
UNCERTAINTY_POST_CASCADE,0.2,0.8032155665908438,0.572526819573918,800,0.02920075446484449,200.0,1.4600377232422246
UNCERTAINTY_POST_CASCADE,0.25,0.8613819831178563,0.6509045293526867,1000,0.05816641652701249,200.0,2.908320826350624
